epoch,train_loss,train_acc,test_loss,test_acc
10,1.304302756479743,0.5372,1.5209447448246014,0.4802
20,0.9840357409634044,0.64948,1.6512048994771207,0.4865
30,0.6801679644898123,0.75662,2.0130073812822946,0.4956
40,0.44177195454112855,0.84142,2.5928808496402094,0.4976
50,0.30545457560266354,0.89266,3.3258794081477694,0.4815
60,0.22721906055315558,0.92242,3.960854095772813,0.4881
70,0.17976335993201084,0.93996,4.604419190662737,0.4947
80,0.18456050513552946,0.9419,5.097353622555352,0.4984
90,0.10696168402066128,0.96582,5.657981524452234,0.4958
100,0.18433741702968653,0.94686,6.013109814244718,0.4916
110,0.1657492485330972,0.95464,6.47123481366581,0.4915
120,0.12479505881513928,0.96396,6.884474477828882,0.4896
130,0.17106764265559263,0.95686,7.252643617197347,0.5006
140,0.1258247645872372,0.96832,7.7477052211761475,0.4906
150,0.06462870241097322,0.98166,8.02877961484769,0.507
