alpha,g,epoch,task_id,train_loss,train_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,layer_0_rank,layer_1_rank,layer_2_rank,layer_3_rank,layer_4_rank,layer_5_rank,layer_6_rank,layer_7_rank,layer_8_rank,layer_9_rank,total_rank_sum
2.0,1.0,1,1,0.11776716863251034,0.9710833333333333,0.9980000257492065,,,,,,,,,,,,,,,
2.0,1.0,2,1,0.007701993009640261,0.9984166666666666,0.9980000257492065,,,,,,,,,,,,,,,
2.0,1.0,3,1,0.0054405682721482395,0.9986666666666667,0.9980000257492065,,,,,,,,,,,,,,,
2.0,1.0,4,1,0.004384531360553043,0.9985833333333334,0.9975000619888306,,,,,,,,,,,,,,,
2.0,1.0,5,1,0.003847202310893447,0.9989166666666667,0.999000072479248,,,,,,,,,,,,,,,
2.0,1.0,6,1,0.003332610952635692,0.9991666666666666,0.9985000491142273,,,,,,,,,,,,,,,
2.0,1.0,7,1,0.002928680927614047,0.9993333333333333,0.999500036239624,,,,,,,,,,,,,,,
2.0,1.0,8,1,0.002681977343603107,0.9995,0.999000072479248,,,,,,,,,,,,,,,
2.0,1.0,9,1,0.002453452364747175,0.9994166666666666,0.999500036239624,,,,,,,,,,,,,,,
2.0,1.0,10,1,0.002228169334867221,0.9995,0.999000072479248,,,,,,,,,,,,,,,
2.0,1.0,11,1,0.001894167735643234,0.99975,0.999500036239624,,,,,,,,,,,,,,,
2.0,1.0,12,1,0.0019236241409708646,0.9995833333333334,0.999500036239624,,,,,,,,,,,,,,,
2.0,1.0,13,1,0.001728975299672729,0.9996666666666667,0.999500036239624,,,,,,,,,,,,,,,
2.0,1.0,14,1,0.0015252131232316854,0.99975,0.999500036239624,,,,,,,,,,,,,,,
2.0,1.0,15,1,0.001421248198157434,0.99975,0.999000072479248,,,,,,,,,,,,,,,
2.0,1.0,16,1,0.0012895084662964205,0.99975,0.999500036239624,,,,,,,,,,,,,,,
2.0,1.0,17,1,0.0011810568323701947,0.99975,0.999500036239624,,,,,,,,,,,,,,,
2.0,1.0,18,1,0.0010847808220244182,0.9996666666666667,0.999500036239624,,,,,,,,,,,,,,,
2.0,1.0,19,1,0.001019133091292733,0.99975,0.999500036239624,,,,,,,,,,,,,,,
2.0,1.0,20,1,0.0009308883842443701,0.9998333333333334,0.999500036239624,,,,,74.0,73.0,66.0,62.0,57.0,46.0,37.0,29.0,21.0,14.0,479.0
2.0,1.0,1,2,12.047300034380974,0.0,0.999500036239624,0.0,,,,,,,,,,,,,,
2.0,1.0,2,2,8.577290306700037,0.20325,0.999000072479248,0.34050002694129944,,,,,,,,,,,,,,
2.0,1.0,3,2,7.538135919165104,0.38725,0.999000072479248,0.4020000100135803,,,,,,,,,,,,,,
2.0,1.0,4,2,7.088647756170719,0.4236666666666667,0.999000072479248,0.4285000264644623,,,,,,,,,,,,,,
2.0,1.0,5,2,6.623976463967181,0.44633333333333336,0.999000072479248,0.44700002670288086,,,,,,,,,,,,,,
2.0,1.0,6,2,6.039535284042358,0.461,0.9970000386238098,0.4595000147819519,,,,,,,,,,,,,,
2.0,1.0,7,2,5.280264712394552,0.48525,0.9950000643730164,0.5015000104904175,,,,,,,,,,,,,,
2.0,1.0,8,2,4.41260244998526,0.5420833333333334,0.9925000667572021,0.5615000128746033,,,,,,,,,,,,,,
2.0,1.0,9,2,3.6236239139069903,0.59975,0.9880000352859497,0.6175000071525574,,,,,,,,,,,,,,
2.0,1.0,10,2,2.9431345145753087,0.65475,0.9785000681877136,0.6655000448226929,,,,,,,,,,,,,,
2.0,1.0,11,2,2.3588343668491283,0.7061666666666667,0.9705000519752502,0.7130000591278076,,,,,,,,,,,,,,
2.0,1.0,12,2,1.8937910123074309,0.7538333333333334,0.9620000720024109,0.7570000290870667,,,,,,,,,,,,,,
2.0,1.0,13,2,1.5519275975988267,0.7914166666666667,0.9505000710487366,0.7950000166893005,,,,,,,,,,,,,,
2.0,1.0,14,2,1.3141667620932802,0.8236666666666667,0.9345000386238098,0.8215000629425049,,,,,,,,,,,,,,
2.0,1.0,15,2,1.1480394297457757,0.8460833333333333,0.9240000247955322,0.8370000123977661,,,,,,,,,,,,,,
2.0,1.0,16,2,1.0308497196182291,0.86275,0.9165000319480896,0.8550000190734863,,,,,,,,,,,,,,
