step,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc,total_basis_rank,basis_rank_features.0.weight,basis_rank_features.2.weight,basis_rank_features.4.weight,basis_rank_features.6.weight,basis_rank_features.8.weight,basis_rank_features.10.weight,basis_rank_features.12.weight,basis_rank_features.14.weight,basis_rank_features.16.weight,basis_rank_classifier.weight
0,0.1550000011920929,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
100,0.753000020980835,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
200,0.8110000491142273,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
300,0.8480000495910645,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
400,0.8610000610351562,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
500,0.862000048160553,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
600,0.8670000433921814,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
700,0.878000020980835,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
800,0.8810000419616699,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
900,0.8870000243186951,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
1000,0.8870000243186951,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
1100,0.8920000195503235,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
1200,0.8950000405311584,0.4090000092983246,,,,,,,,,,,,,,,,,,,717.0,92.0,90.0,86.0,82.0,77.0,71.0,65.0,58.0,51.0,45.0
1300,0.8920000195503235,0.7510000467300415,,,,,,,,,,,,,,,,,,,717.0,92.0,90.0,86.0,82.0,77.0,71.0,65.0,58.0,51.0,45.0
1400,0.8890000581741333,0.7930000424385071,,,,,,,,,,,,,,,,,,,717.0,92.0,90.0,86.0,82.0,77.0,71.0,65.0,58.0,51.0,45.0
1500,0.8880000710487366,0.8230000138282776,,,,,,,,,,,,,,,,,,,717.0,92.0,90.0,86.0,82.0,77.0,71.0,65.0,58.0,51.0,45.0
1600,0.8860000371932983,0.8410000205039978,,,,,,,,,,,,,,,,,,,717.0,92.0,90.0,86.0,82.0,77.0,71.0,65.0,58.0,51.0,45.0
1700,0.8860000371932983,0.8500000238418579,,,,,,,,,,,,,,,,,,,717.0,92.0,90.0,86.0,82.0,77.0,71.0,65.0,58.0,51.0,45.0
1800,0.8870000243186951,0.8570000529289246,,,,,,,,,,,,,,,,,,,717.0,92.0,90.0,86.0,82.0,77.0,71.0,65.0,58.0,51.0,45.0
1900,0.8870000243186951,0.8660000562667847,,,,,,,,,,,,,,,,,,,717.0,92.0,90.0,86.0,82.0,77.0,71.0,65.0,58.0,51.0,45.0
2000,0.8870000243186951,0.8640000224113464,,,,,,,,,,,,,,,,,,,717.0,92.0,90.0,86.0,82.0,77.0,71.0,65.0,58.0,51.0,45.0
2100,0.8870000243186951,0.8720000386238098,,,,,,,,,,,,,,,,,,,717.0,92.0,90.0,86.0,82.0,77.0,71.0,65.0,58.0,51.0,45.0
2200,0.8890000581741333,0.8740000128746033,,,,,,,,,,,,,,,,,,,717.0,92.0,90.0,86.0,82.0,77.0,71.0,65.0,58.0,51.0,45.0
2300,0.8890000581741333,0.8760000467300415,,,,,,,,,,,,,,,,,,,717.0,92.0,90.0,86.0,82.0,77.0,71.0,65.0,58.0,51.0,45.0
2400,0.8870000243186951,0.8720000386238098,0.5720000267028809,,,,,,,,,,,,,,,,,,1242.0,176.0,166.0,153.0,141.0,130.0,118.0,107.0,95.0,83.0,73.0
2500,0.8840000629425049,0.8730000257492065,0.7420000433921814,,,,,,,,,,,,,,,,,,1242.0,176.0,166.0,153.0,141.0,130.0,118.0,107.0,95.0,83.0,73.0
2600,0.8840000629425049,0.8730000257492065,0.7970000505447388,,,,,,,,,,,,,,,,,,1242.0,176.0,166.0,153.0,141.0,130.0,118.0,107.0,95.0,83.0,73.0
2700,0.8840000629425049,0.8730000257492065,0.8270000219345093,,,,,,,,,,,,,,,,,,1242.0,176.0,166.0,153.0,141.0,130.0,118.0,107.0,95.0,83.0,73.0
2800,0.8820000290870667,0.8710000514984131,0.8400000333786011,,,,,,,,,,,,,,,,,,1242.0,176.0,166.0,153.0,141.0,130.0,118.0,107.0,95.0,83.0,73.0
2900,0.8820000290870667,0.8700000643730164,0.8500000238418579,,,,,,,,,,,,,,,,,,1242.0,176.0,166.0,153.0,141.0,130.0,118.0,107.0,95.0,83.0,73.0
3000,0.8820000290870667,0.8700000643730164,0.8600000143051147,,,,,,,,,,,,,,,,,,1242.0,176.0,166.0,153.0,141.0,130.0,118.0,107.0,95.0,83.0,73.0
