step,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc,task_idx,basis_rank_conv1.weight,basis_rank_conv2.weight,basis_rank_conv3.weight,basis_rank_fc1.weight,basis_rank_fc2.weight,total_basis_rank,var_total_conv1,var_total_conv2,var_total_conv3,var_total_fc1,var_total_fc2,var_proj_conv1,var_proj_conv2,var_proj_conv3,var_proj_fc1,var_proj_fc2,var_res_conv1,var_res_conv2,var_res_conv3,var_res_fc1,var_res_fc2
1170,0.68,0.116,0.162,0.234,0.168,0.16,0.272,0.242,0.206,0.144,0.23,0.204,0.206,0.206,0.218,0.168,0.238,0.238,0.314,0.192,0.0,10.0,129.0,230.0,238.0,315.0,922.0,107696.71875,455979.34375,446969.53125,233346.296875,421317.9375,0.0,0.0,0.0,0.0,0.0,107696.71875,455979.34375,446969.53125,233346.296875,421317.9375
2340,0.678,0.612,0.164,0.228,0.168,0.16,0.27,0.244,0.208,0.142,0.228,0.206,0.202,0.208,0.216,0.168,0.246,0.236,0.318,0.192,1.0,10.0,148.0,271.0,394.0,543.0,1366.0,90796.5078125,441319.3125,435475.46875,228859.015625,433863.6875,88286.203125,425266.96875,416652.21875,205199.03125,363472.8125,2511.729248046875,16201.263671875,18981.326171875,23618.91015625,70286.8984375
3510,0.68,0.606,0.618,0.228,0.166,0.162,0.266,0.244,0.208,0.142,0.228,0.204,0.2,0.202,0.218,0.168,0.246,0.236,0.318,0.192,2.0,10.0,148.0,278.0,487.0,701.0,1624.0,81552.7578125,433555.1875,442293.59375,234604.15625,443211.9375,79615.234375,420917.1875,427965.40625,218873.53125,400723.625,1938.8330078125,12638.0859375,14328.2255859375,15730.6142578125,42488.375
4680,0.682,0.606,0.616,0.542,0.166,0.158,0.266,0.24,0.208,0.14,0.228,0.204,0.202,0.202,0.216,0.168,0.248,0.238,0.324,0.192,3.0,10.0,148.0,281.0,555.0,827.0,1821.0,81543.453125,427151.875,427554.1875,226065.4375,425666.625,79697.1796875,415202.5625,414351.28125,213900.0625,394818.21875,1847.54638671875,11949.35546875,13203.0537109375,12165.3994140625,30848.515625
5850,0.682,0.608,0.618,0.548,0.564,0.156,0.264,0.242,0.206,0.138,0.222,0.202,0.2,0.202,0.218,0.166,0.25,0.236,0.32,0.19,4.0,11.0,161.0,294.0,605.0,924.0,1995.0,77627.8515625,409841.34375,426691.0,220807.4375,413964.0,75153.875,395869.0625,412252.40625,210484.796875,389366.6875,2475.180908203125,13972.3623046875,14438.708984375,10322.6337890625,24597.3828125
7020,0.682,0.608,0.62,0.548,0.568,0.546,0.262,0.242,0.206,0.138,0.23,0.202,0.202,0.2,0.214,0.168,0.246,0.238,0.318,0.192,5.0,11.0,161.0,294.0,633.0,994.0,2093.0,90375.859375,417649.875,431206.125,229356.34375,422811.8125,88820.4765625,406395.3125,418488.03125,220395.203125,402166.8125,1555.390625,11254.568359375,12718.205078125,8961.1162109375,20645.109375
8190,0.678,0.606,0.618,0.544,0.57,0.548,0.66,0.244,0.206,0.144,0.224,0.202,0.204,0.2,0.224,0.166,0.246,0.234,0.32,0.19,6.0,11.0,161.0,294.0,651.0,1042.0,2159.0,94825.59375,439104.96875,433331.96875,227291.25,425556.78125,93097.6953125,427579.90625,420568.5625,219165.03125,407686.1875,1727.903076171875,11525.078125,12763.51953125,8126.2060546875,17870.69140625
9360,0.686,0.606,0.618,0.546,0.568,0.554,0.66,0.536,0.212,0.146,0.226,0.202,0.202,0.2,0.218,0.164,0.242,0.234,0.318,0.188,7.0,11.0,163.0,304.0,673.0,1091.0,2242.0,86471.2734375,427195.25,430035.5625,223312.703125,410364.1875,84640.75,414160.3125,415810.15625,215039.03125,392984.25,1830.5302734375,13034.966796875,14225.5,8273.658203125,17380.021484375
10530,0.688,0.61,0.62,0.544,0.566,0.546,0.662,0.532,0.614,0.144,0.226,0.202,0.204,0.202,0.22,0.166,0.246,0.236,0.32,0.19,8.0,11.0,163.0,304.0,673.0,1101.0,2252.0,85949.8984375,432368.65625,446895.28125,232358.203125,434337.375,84349.609375,420923.6875,435216.0,225691.265625,420290.53125,1600.290771484375,11445.025390625,11679.416015625,6666.93701171875,14046.91015625
11700,0.686,0.606,0.62,0.544,0.566,0.542,0.662,0.532,0.612,0.522,0.226,0.202,0.202,0.202,0.22,0.168,0.244,0.234,0.316,0.188,9.0,11.0,174.0,310.0,693.0,1142.0,2330.0,88884.046875,445532.1875,439642.46875,225285.78125,408508.96875,86453.8515625,430753.25,425698.1875,217036.09375,392204.0,2430.20654296875,14779.017578125,13944.412109375,8249.697265625,16305.0224609375
