step,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc,total_basis_rank,basis_rank_features.0.weight,basis_rank_features.2.weight,basis_rank_features.4.weight,basis_rank_features.6.weight,basis_rank_features.8.weight,basis_rank_features.10.weight,basis_rank_features.12.weight,basis_rank_features.14.weight,basis_rank_features.16.weight,basis_rank_classifier.weight
0,0.08800000697374344,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
100,0.7760000228881836,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
200,0.8330000638961792,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
300,0.8600000143051147,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
400,0.8680000305175781,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
500,0.8840000629425049,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
600,0.8960000276565552,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
700,0.8980000615119934,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
800,0.9040000438690186,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
900,0.909000039100647,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
1000,0.9100000262260437,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
1100,0.9140000343322754,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
1175,0.9170000553131104,0.15400001406669617,0.1340000033378601,0.10900000482797623,0.12000000476837158,0.09000000357627869,0.09800000488758087,0.08800000697374344,0.0820000022649765,0.08400000631809235,0.15300001204013824,0.07700000703334808,0.1080000028014183,0.07400000095367432,0.125,0.1340000033378601,0.14400000870227814,0.08000000566244125,0.11700000613927841,0.11100000888109207,1460.0,134.0,127.0,125.0,131.0,139.0,147.0,154.0,163.0,168.0,172.0
1200,0.9150000214576721,0.4650000333786011,,,,,,,,,,,,,,,,,,,1460.0,134.0,127.0,125.0,131.0,139.0,147.0,154.0,163.0,168.0,172.0
1300,0.9170000553131104,0.734000027179718,,,,,,,,,,,,,,,,,,,1460.0,134.0,127.0,125.0,131.0,139.0,147.0,154.0,163.0,168.0,172.0
1400,0.9200000166893005,0.7980000376701355,,,,,,,,,,,,,,,,,,,1460.0,134.0,127.0,125.0,131.0,139.0,147.0,154.0,163.0,168.0,172.0
1500,0.9200000166893005,0.8300000429153442,,,,,,,,,,,,,,,,,,,1460.0,134.0,127.0,125.0,131.0,139.0,147.0,154.0,163.0,168.0,172.0
1600,0.9200000166893005,0.8510000109672546,,,,,,,,,,,,,,,,,,,1460.0,134.0,127.0,125.0,131.0,139.0,147.0,154.0,163.0,168.0,172.0
1700,0.921000063419342,0.859000027179718,,,,,,,,,,,,,,,,,,,1460.0,134.0,127.0,125.0,131.0,139.0,147.0,154.0,163.0,168.0,172.0
1800,0.9220000505447388,0.8640000224113464,,,,,,,,,,,,,,,,,,,1460.0,134.0,127.0,125.0,131.0,139.0,147.0,154.0,163.0,168.0,172.0
1900,0.9200000166893005,0.8760000467300415,,,,,,,,,,,,,,,,,,,1460.0,134.0,127.0,125.0,131.0,139.0,147.0,154.0,163.0,168.0,172.0
2000,0.921000063419342,0.8810000419616699,,,,,,,,,,,,,,,,,,,1460.0,134.0,127.0,125.0,131.0,139.0,147.0,154.0,163.0,168.0,172.0
2100,0.921000063419342,0.8820000290870667,,,,,,,,,,,,,,,,,,,1460.0,134.0,127.0,125.0,131.0,139.0,147.0,154.0,163.0,168.0,172.0
2200,0.921000063419342,0.8910000324249268,,,,,,,,,,,,,,,,,,,1460.0,134.0,127.0,125.0,131.0,139.0,147.0,154.0,163.0,168.0,172.0
2300,0.921000063419342,0.893000066280365,,,,,,,,,,,,,,,,,,,1460.0,134.0,127.0,125.0,131.0,139.0,147.0,154.0,163.0,168.0,172.0
2350,0.921000063419342,0.893000066280365,0.15700000524520874,0.11400000751018524,0.10000000149011612,0.07900000363588333,0.09200000762939453,0.0950000062584877,0.07500000298023224,0.09400000423192978,0.1080000028014183,0.06300000101327896,0.12300000339746475,0.09700000286102295,0.10100000351667404,0.10400000214576721,0.11300000548362732,0.08800000697374344,0.10100000351667404,0.08400000631809235,2183.0,244.0,218.0,197.0,196.0,200.0,208.0,218.0,230.0,234.0,238.0
2400,0.9220000505447388,0.893000066280365,0.550000011920929,,,,,,,,,,,,,,,,,,2183.0,244.0,218.0,197.0,196.0,200.0,208.0,218.0,230.0,234.0,238.0
2500,0.9200000166893005,0.8940000534057617,0.7230000495910645,,,,,,,,,,,,,,,,,,2183.0,244.0,218.0,197.0,196.0,200.0,208.0,218.0,230.0,234.0,238.0
