step,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc,total_basis_rank,basis_rank_features.0.weight,basis_rank_features.2.weight,basis_rank_features.4.weight,basis_rank_features.6.weight,basis_rank_features.8.weight,basis_rank_features.10.weight,basis_rank_features.12.weight,basis_rank_features.14.weight,basis_rank_features.16.weight,basis_rank_classifier.weight
0,0.12200000882148743,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
100,0.49000000953674316,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
200,0.6020000576972961,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
300,0.6500000357627869,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
400,0.6960000395774841,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
500,0.6980000138282776,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
600,0.7080000042915344,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
700,0.7410000562667847,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
800,0.7420000433921814,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
900,0.7440000176429749,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
1000,0.7550000548362732,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
1100,0.7620000243186951,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
1175,0.7680000066757202,0.10000000149011612,0.10700000822544098,0.10100000351667404,0.11000000685453415,0.09200000762939453,0.1210000067949295,0.10300000756978989,0.08400000631809235,0.10300000756978989,0.1120000034570694,0.09800000488758087,0.10500000417232513,0.07100000232458115,0.0950000062584877,0.10400000214576721,0.09600000083446503,0.09100000560283661,0.09100000560283661,0.10000000149011612,3774.0,134.0,201.0,321.0,386.0,422.0,445.0,456.0,464.0,470.0,475.0
1200,0.7700000405311584,0.14600001275539398,,,,,,,,,,,,,,,,,,,3774.0,134.0,201.0,321.0,386.0,422.0,445.0,456.0,464.0,470.0,475.0
1300,0.7720000147819519,0.36000001430511475,,,,,,,,,,,,,,,,,,,3774.0,134.0,201.0,321.0,386.0,422.0,445.0,456.0,464.0,470.0,475.0
1400,0.7710000276565552,0.45000001788139343,,,,,,,,,,,,,,,,,,,3774.0,134.0,201.0,321.0,386.0,422.0,445.0,456.0,464.0,470.0,475.0
1500,0.7680000066757202,0.4970000088214874,,,,,,,,,,,,,,,,,,,3774.0,134.0,201.0,321.0,386.0,422.0,445.0,456.0,464.0,470.0,475.0
1600,0.7680000066757202,0.5490000247955322,,,,,,,,,,,,,,,,,,,3774.0,134.0,201.0,321.0,386.0,422.0,445.0,456.0,464.0,470.0,475.0
