alpha,g,epoch,task_id,train_loss,train_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc
2.0,1.0,1,1,0.4042737054100423,0.8842,0.9174999594688416,,,,,,,,,
2.0,1.0,2,1,0.2769328491138751,0.91945,0.9261999726295471,,,,,,,,,
2.0,1.0,3,1,0.24116373646742245,0.9307666666666666,0.9334999918937683,,,,,,,,,
2.0,1.0,4,1,0.21117177181470115,0.9381,0.9432999491691589,,,,,,,,,
2.0,1.0,5,1,0.18330232836385527,0.9465,0.9484999775886536,,,,,,,,,
2.0,1.0,6,1,0.161776823243861,0.9523,0.9524999856948853,,,,,,,,,
2.0,1.0,7,1,0.143371625845112,0.958,0.9554999470710754,,,,,,,,,
2.0,1.0,8,1,0.12930832181705723,0.9613666666666667,0.9598000049591064,,,,,,,,,
2.0,1.0,9,1,0.11738029003604007,0.9649333333333333,0.9635999798774719,,,,,,,,,
2.0,1.0,10,1,0.10639212157394586,0.9681666666666666,0.9645999670028687,,,,,,,,,
2.0,1.0,1,2,0.4811935993685905,0.88385,0.777999997138977,0.9390999674797058,,,,,,,,
2.0,1.0,2,2,0.19292293933790122,0.9422333333333334,0.727899968624115,0.9488999843597412,,,,,,,,
2.0,1.0,3,2,0.15593857548511358,0.9535333333333333,0.6686999797821045,0.9555999636650085,,,,,,,,
2.0,1.0,4,2,0.13402361362409998,0.9599333333333333,0.6398000121116638,0.960099995136261,,,,,,,,
2.0,1.0,5,2,0.11836139968971708,0.9650833333333333,0.5805000066757202,0.9607999920845032,,,,,,,,
2.0,1.0,6,2,0.10746493833119682,0.9676833333333333,0.5455999970436096,0.964199960231781,,,,,,,,
2.0,1.0,7,2,0.09893210113906403,0.9703833333333334,0.5027999877929688,0.9655999541282654,,,,,,,,
2.0,1.0,8,2,0.0911515091678926,0.9726666666666667,0.4772000014781952,0.9650999903678894,,,,,,,,
2.0,1.0,9,2,0.08481297603865931,0.9747333333333333,0.4787999987602234,0.9680999517440796,,,,,,,,
2.0,1.0,10,2,0.07885958457679383,0.9763333333333334,0.4772999882698059,0.9673999547958374,,,,,,,,
2.0,1.0,1,3,0.5102239135168255,0.8733666666666666,0.25380000472068787,0.6595999598503113,0.9391999840736389,,,,,,,
2.0,1.0,2,3,0.18519515685562385,0.944,0.21229998767375946,0.6388999819755554,0.9546999931335449,,,,,,,
2.0,1.0,3,3,0.13995669402483937,0.9571333333333333,0.16929998993873596,0.6209999918937683,0.9598999619483948,,,,,,,
2.0,1.0,4,3,0.1166311549439804,0.96495,0.18069998919963837,0.6467999815940857,0.9596999883651733,,,,,,,
2.0,1.0,5,3,0.10245467401119565,0.96885,0.16019999980926514,0.6261999607086182,0.9664999842643738,,,,,,,
2.0,1.0,6,3,0.09220107282990458,0.97265,0.1631999909877777,0.6305999755859375,0.9649999737739563,,,,,,,
2.0,1.0,7,3,0.08419465713067921,0.9743666666666667,0.1428999900817871,0.6024999618530273,0.9673999547958374,,,,,,,
2.0,1.0,8,3,0.07808574338727542,0.9765,0.14800000190734863,0.6168999671936035,0.9691999554634094,,,,,,,
2.0,1.0,9,3,0.0724677307678184,0.9782166666666666,0.13439999520778656,0.604699969291687,0.9711999893188477,,,,,,,
2.0,1.0,10,3,0.06767869555055778,0.9795833333333334,0.14970000088214874,0.6035000085830688,0.9717999696731567,,,,,,,
2.0,1.0,1,4,0.42138878764437715,0.8842333333333333,0.09079999476671219,0.299699991941452,0.8747999668121338,0.9429000020027161,,,,,,
2.0,1.0,2,4,0.15658755353423578,0.9509,0.08989999443292618,0.2919999957084656,0.8314999938011169,0.9567999839782715,,,,,,
2.0,1.0,3,4,0.11879415370460385,0.9627333333333333,0.08899999409914017,0.2750000059604645,0.795799970626831,0.964199960231781,,,,,,
2.0,1.0,4,4,0.09953663265034715,0.96855,0.08500000089406967,0.2777999937534332,0.7680999636650085,0.9639999866485596,,,,,,
2.0,1.0,5,4,0.08734819603992551,0.9734666666666667,0.09070000052452087,0.28139999508857727,0.7702999711036682,0.968999981880188,,,,,,
2.0,1.0,6,4,0.07934566608258783,0.9754166666666667,0.09019999951124191,0.2726999819278717,0.7277999520301819,0.9709999561309814,,,,,,
2.0,1.0,7,4,0.07248565222797936,0.9775,0.08789999783039093,0.25209999084472656,0.7045999765396118,0.9705999493598938,,,,,,
2.0,1.0,8,4,0.06680265625815655,0.9795833333333334,0.094200000166893,0.26080000400543213,0.70169997215271,0.9727999567985535,,,,,,
2.0,1.0,9,4,0.06208313151852472,0.98125,0.08429999649524689,0.24769999086856842,0.6764000058174133,0.972599983215332,,,,,,
