epoch,task_id,train_loss,train_acc,alpha,g,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc
1,1,1.8306261651805724,0.3456666666666667,1.2,0.25,0.5658000111579895,,,,,,,,,
2,1,1.1379973343186287,0.6184666666666667,1.2,0.25,0.6868999600410461,,,,,,,,,
3,1,0.8150342308890337,0.7432,1.2,0.25,0.8305999636650085,,,,,,,,,
4,1,0.5525145755012406,0.8754333333333333,1.2,0.25,0.895799994468689,,,,,,,,,
5,1,0.4133887074585917,0.9041,1.2,0.25,0.9188999533653259,,,,,,,,,
6,1,0.32610849859808555,0.9227833333333333,1.2,0.25,0.9316999912261963,,,,,,,,,
7,1,0.2814171934115099,0.9303833333333333,1.2,0.25,0.9316999912261963,,,,,,,,,
8,1,0.2513625346012969,0.9360666666666667,1.2,0.25,0.9412999749183655,,,,,,,,,
9,1,0.221208653724524,0.9436833333333333,1.2,0.25,0.9404000043869019,,,,,,,,,
10,1,0.2108325876041389,0.9455,1.2,0.25,0.9456999897956848,,,,,,,,,
11,1,0.1893498838694492,0.95075,1.2,0.25,0.9394999742507935,,,,,,,,,
12,1,0.17797289181079692,0.9536,1.2,0.25,0.9491999745368958,,,,,,,,,
13,1,0.16430069109015882,0.9579833333333333,1.2,0.25,0.939300000667572,,,,,,,,,
14,1,0.15693030845540673,0.9582833333333334,1.2,0.25,0.9533999562263489,,,,,,,,,
15,1,0.14559518872325355,0.9607833333333333,1.2,0.25,0.9538999795913696,,,,,,,,,
16,1,0.1375977098306359,0.9638666666666666,1.2,0.25,0.9536999464035034,,,,,,,,,
17,1,0.1331987486147423,0.9644666666666667,1.2,0.25,0.9601999521255493,,,,,,,,,
18,1,0.12949014215994237,0.9655833333333333,1.2,0.25,0.9521999955177307,,,,,,,,,
19,1,0.12501172408429798,0.9669,1.2,0.25,0.9479999542236328,,,,,,,,,
20,1,0.11664406741971273,0.96885,1.2,0.25,0.9553999900817871,,,,,,,,,
21,1,0.11205304510541943,0.9697666666666667,1.2,0.25,0.9559999704360962,,,,,,,,,
22,1,0.10633415240707046,0.9712,1.2,0.25,0.9591999650001526,,,,,,,,,
