alpha,g,epoch,task_id,train_loss,train_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc
2.0,1.0,1,1,0.40203753517253565,0.8848166666666667,0.9163999557495117,,,,,,,,,
2.0,1.0,2,1,0.27659581976531666,0.9195333333333333,0.9310999512672424,,,,,,,,,
2.0,1.0,3,1,0.23740520150358999,0.9310166666666667,0.9361000061035156,,,,,,,,,
2.0,1.0,4,1,0.2038418731646243,0.9407333333333333,0.9456999897956848,,,,,,,,,
2.0,1.0,5,1,0.17642285151363435,0.94825,0.9494999647140503,,,,,,,,,
2.0,1.0,6,1,0.1548342916772945,0.9544666666666667,0.9541999697685242,,,,,,,,,
2.0,1.0,7,1,0.13748077790874408,0.9596,0.9578999876976013,,,,,,,,,
2.0,1.0,8,1,0.12505028545777044,0.9624833333333334,0.9610999822616577,,,,,,,,,
2.0,1.0,9,1,0.11193906330366506,0.9666,0.9621999859809875,,,,,,,,,
2.0,1.0,10,1,0.10330007250295646,0.9690666666666666,0.9634999632835388,,,,,,,,,
2.0,1.0,11,1,0.09507701836470793,0.9717166666666667,0.9670999646186829,,,,,,,,,
2.0,1.0,12,1,0.08763890857619644,0.9746,0.9666999578475952,,,,,,,,,
2.0,1.0,13,1,0.08096520722643144,0.9758,0.9687999486923218,,,,,,,,,
2.0,1.0,14,1,0.07531875527616758,0.9775666666666667,0.9688999652862549,,,,,,,,,
2.0,1.0,15,1,0.06981371827463288,0.9791333333333333,0.9723999500274658,,,,,,,,,
2.0,1.0,16,1,0.06588747840462082,0.9804833333333334,0.9728999733924866,,,,,,,,,
2.0,1.0,17,1,0.061606564916479686,0.9817666666666667,0.9728999733924866,,,,,,,,,
2.0,1.0,18,1,0.05762374228529775,0.9828,0.9739999771118164,,,,,,,,,
2.0,1.0,19,1,0.05294365886408192,0.9843,0.9757999777793884,,,,,,,,,
2.0,1.0,20,1,0.05083203484623957,0.9844,0.9728999733924866,,,,,,,,,
2.0,1.0,21,1,0.04745893220879884,0.9856166666666667,0.9727999567985535,,,,,,,,,
2.0,1.0,22,1,0.04453630623882259,0.98655,0.9731999635696411,,,,,,,,,
2.0,1.0,23,1,0.041522110393370136,0.9877333333333334,0.9770999550819397,,,,,,,,,
2.0,1.0,24,1,0.03899698617703307,0.9887166666666667,0.9770999550819397,,,,,,,,,
2.0,1.0,25,1,0.03614796446596604,0.9894,0.9757999777793884,,,,,,,,,
2.0,1.0,26,1,0.034091316185383275,0.9900666666666667,0.976099967956543,,,,,,,,,
2.0,1.0,27,1,0.031678804649171166,0.9907333333333334,0.975600004196167,,,,,,,,,
2.0,1.0,28,1,0.02957554894890676,0.9919666666666667,0.9758999943733215,,,,,,,,,
2.0,1.0,29,1,0.028109888768077754,0.9920333333333333,0.9751999974250793,,,,,,,,,
2.0,1.0,30,1,0.026397030513638307,0.9925833333333334,0.9763999581336975,,,,,,,,,
2.0,1.0,1,2,0.8533350310917857,0.8354833333333334,0.5931999683380127,0.9151999950408936,,,,,,,,
2.0,1.0,2,2,0.24168450938168365,0.92715,0.5156999826431274,0.9347999691963196,,,,,,,,
2.0,1.0,3,2,0.1868363400893425,0.9437333333333333,0.47839999198913574,0.9494999647140503,,,,,,,,
2.0,1.0,4,2,0.15430387820420996,0.9530166666666666,0.4659999907016754,0.9545999765396118,,,,,,,,
2.0,1.0,5,2,0.13281815668254265,0.9592666666666667,0.4755999743938446,0.9611999988555908,,,,,,,,
2.0,1.0,6,2,0.11700858770688968,0.9647,0.43709999322891235,0.9634999632835388,,,,,,,,
2.0,1.0,7,2,0.10423409275170456,0.9687166666666667,0.4438000023365021,0.965499997138977,,,,,,,,
2.0,1.0,8,2,0.0953889726591644,0.9712833333333334,0.42800000309944153,0.9666999578475952,,,,,,,,
2.0,1.0,9,2,0.0865858693335102,0.9736333333333334,0.42809998989105225,0.9690999984741211,,,,,,,,
2.0,1.0,10,2,0.08010026789121409,0.9758166666666667,0.4259999990463257,0.9699999690055847,,,,,,,,
2.0,1.0,11,2,0.07332513079261666,0.9780833333333333,0.4105999767780304,0.9696999788284302,,,,,,,,
2.0,1.0,12,2,0.06834609937200796,0.9791833333333333,0.4138999879360199,0.9713999629020691,,,,,,,,
2.0,1.0,13,2,0.06355447698233606,0.9807,0.4213999807834625,0.974399983882904,,,,,,,,
2.0,1.0,14,2,0.05923551051760279,0.9824166666666667,0.39010000228881836,0.9700999855995178,,,,,,,,
2.0,1.0,15,2,0.05468044392287985,0.98295,0.3903999924659729,0.9734999537467957,,,,,,,,
2.0,1.0,16,2,0.05114728038800932,0.9841666666666666,0.3669999837875366,0.9750999808311462,,,,,,,,
2.0,1.0,17,2,0.04758941624234162,0.9863,0.38679999113082886,0.97489994764328,,,,,,,,
2.0,1.0,18,2,0.04415869265536605,0.9866166666666667,0.37529999017715454,0.9733999967575073,,,,,,,,
2.0,1.0,19,2,0.04131177234560696,0.9879166666666667,0.36249998211860657,0.9765999913215637,,,,,,,,
2.0,1.0,20,2,0.03868431776070963,0.98865,0.3552999794483185,0.9739999771118164,,,,,,,,
2.0,1.0,21,2,0.03605453839360762,0.9893666666666666,0.376800000667572,0.9763000011444092,,,,,,,,
2.0,1.0,22,2,0.03393375867707675,0.99025,0.3718999922275543,0.9758999943733215,,,,,,,,
2.0,1.0,23,2,0.031407539855871504,0.9910666666666667,0.37549999356269836,0.9752999544143677,,,,,,,,
2.0,1.0,24,2,0.02921770032205339,0.9920166666666667,0.34759998321533203,0.976699948310852,,,,,,,,
