alpha,g,epoch,task_id,train_loss,train_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc
1.2,3.0,1,1,1.0081606856477794,0.7907666666666666,0.8884999752044678,,,,,,,,,
1.2,3.0,2,1,0.29573852721371374,0.9121666666666667,0.9228000044822693,,,,,,,,,
1.2,3.0,3,1,0.28304476629315156,0.9191833333333334,0.9350999593734741,,,,,,,,,
1.2,3.0,4,1,0.21265773599876014,0.9383833333333333,0.95169997215271,,,,,,,,,
1.2,3.0,5,1,0.17148758659262392,0.9505666666666667,0.9565999507904053,,,,,,,,,
1.2,3.0,6,1,0.15156485581162896,0.9564333333333334,0.9483999609947205,,,,,,,,,
1.2,3.0,7,1,0.1676417320037384,0.9524333333333334,0.9572999477386475,,,,,,,,,
1.2,3.0,8,1,0.14968991376110105,0.9576833333333333,0.9559999704360962,,,,,,,,,
1.2,3.0,9,1,0.15118489158290155,0.9581,0.9560999870300293,,,,,,,,,
1.2,3.0,10,1,0.17917204215757246,0.9500333333333333,0.948199987411499,,,,,,,,,
1.2,3.0,11,1,0.1644063515346378,0.9534333333333334,0.9490999579429626,,,,,,,,,
1.2,3.0,12,1,0.3605660985388767,0.9044166666666666,0.8865000009536743,,,,,,,,,
1.2,3.0,13,1,0.7063681496613061,0.7991666666666667,0.8248999714851379,,,,,,,,,
1.2,3.0,14,1,0.37014644751861403,0.8959,0.9161999821662903,,,,,,,,,
1.2,3.0,15,1,0.26389316923773365,0.93035,0.9386000037193298,,,,,,,,,
1.2,3.0,16,1,0.22285005521736165,0.9406333333333333,0.9453999996185303,,,,,,,,,
1.2,3.0,17,1,0.2132707167583615,0.9448166666666666,0.9488999843597412,,,,,,,,,
1.2,3.0,18,1,0.19337046701611996,0.9500666666666666,0.9474999904632568,,,,,,,,,
1.2,3.0,19,1,0.18997086397906357,0.95175,0.9454999566078186,,,,,,,,,
1.2,3.0,20,1,0.17869438574528262,0.9551833333333334,0.9598999619483948,,,,,,,,,
1.2,3.0,21,1,0.17413296176394674,0.9562666666666667,0.9448999762535095,,,,,,,,,
1.2,3.0,22,1,0.17304660144375203,0.9568166666666666,0.9149999618530273,,,,,,,,,
1.2,3.0,23,1,0.17445310798566988,0.9569333333333333,0.9562999606132507,,,,,,,,,
1.2,3.0,24,1,0.18070441563087486,0.9564166666666667,0.9526000022888184,,,,,,,,,
1.2,3.0,25,1,0.17732645125626756,0.95725,0.9571999907493591,,,,,,,,,
1.2,3.0,26,1,0.16007162331502195,0.9610166666666666,0.9559999704360962,,,,,,,,,
1.2,3.0,27,1,0.15508329709852808,0.9621,0.9580000042915344,,,,,,,,,
1.2,3.0,28,1,0.1535758265474839,0.9629166666666666,0.9601999521255493,,,,,,,,,
1.2,3.0,29,1,0.1587591313266519,0.9621333333333333,0.9595999717712402,,,,,,,,,
