alpha,g,epoch,task_id,train_loss,train_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc
1.2,0.25,1,1,1.784382575864731,0.32811666666666667,0.5232999920845032,,,,,,,,,
1.2,0.25,2,1,1.2043365055818294,0.5778333333333333,0.6383999586105347,,,,,,,,,
1.2,0.25,3,1,0.9416340771260292,0.6783166666666667,0.7272999882698059,,,,,,,,,
1.2,0.25,4,1,0.7390233303056851,0.7520833333333333,0.8238999843597412,,,,,,,,,
1.2,0.25,5,1,0.5124799973929106,0.8695833333333334,0.9065999984741211,,,,,,,,,
1.2,0.25,6,1,0.3717686030974012,0.9096166666666666,0.9138999581336975,,,,,,,,,
1.2,0.25,7,1,0.35058435044690234,0.91085,0.8685999512672424,,,,,,,,,
1.2,0.25,8,1,0.3171843343706273,0.9195666666666666,0.9378999471664429,,,,,,,,,
1.2,0.25,9,1,0.2507482151836475,0.9354333333333333,0.9402999877929688,,,,,,,,,
1.2,0.25,10,1,0.22866614080314188,0.9399,0.8934999704360962,,,,,,,,,
1.2,0.25,11,1,0.2018395148233564,0.9463,0.9494999647140503,,,,,,,,,
1.2,0.25,12,1,0.18632306587467315,0.94965,0.9431999921798706,,,,,,,,,
1.2,0.25,13,1,0.17160193282944053,0.9535166666666667,0.9526000022888184,,,,,,,,,
1.2,0.25,14,1,0.15339698288232279,0.9583333333333334,0.9519999623298645,,,,,,,,,
1.2,0.25,15,1,0.15040437986792277,0.9585833333333333,0.9540999531745911,,,,,,,,,
1.2,0.25,16,1,0.13749060818730896,0.9626666666666667,0.9454999566078186,,,,,,,,,
1.2,0.25,17,1,0.13063817572142525,0.9644666666666667,0.9591999650001526,,,,,,,,,
1.2,0.25,18,1,0.12051312940350092,0.9670666666666666,0.9517999887466431,,,,,,,,,
1.2,0.25,19,1,0.1134932997193672,0.96945,0.9551999568939209,,,,,,,,,
1.2,0.25,20,1,0.11027811197981016,0.9703333333333334,0.9615999460220337,,,,,,,,,
1.2,0.25,21,1,0.10505895566012559,0.9707,0.962399959564209,,,,,,,,,
1.2,0.25,22,1,0.0985383763591618,0.9730666666666666,0.964199960231781,,,,,,,,,
1.2,0.25,23,1,0.09628417698749855,0.9737333333333333,0.9632999897003174,,,,,,,,,
1.2,0.25,24,1,0.09033417934452546,0.9758666666666667,0.9628999829292297,,,,,,,,,
1.2,0.25,25,1,0.08528016140656684,0.9764833333333334,0.9619999527931213,,,,,,,,,
1.2,0.25,26,1,0.08203731327136951,0.9778833333333333,0.9629999995231628,,,,,,,,,
1.2,0.25,27,1,0.07961346427681668,0.9784833333333334,0.9668999910354614,,,,,,,,,
1.2,0.25,28,1,0.07654748317489682,0.97895,0.9660999774932861,,,,,,,,,
1.2,0.25,29,1,0.07487437085333917,0.9793333333333333,0.9617999792098999,,,,,,,,,
1.2,0.25,30,1,0.07077606082526541,0.98055,0.9660999774932861,,,,,,,,,
1.2,0.25,1,2,0.7074855477062624,0.7893666666666667,0.7700999975204468,0.9114999771118164,,,,,,,,
1.2,0.25,2,2,0.29162109838619926,0.91665,0.6765999794006348,0.9275999665260315,,,,,,,,
1.2,0.25,3,2,0.22678430985286038,0.9343833333333333,0.617900013923645,0.9327999949455261,,,,,,,,
1.2,0.25,4,2,0.1918062071349702,0.9450666666666667,0.6003000140190125,0.9456999897956848,,,,,,,,
1.2,0.25,5,2,0.17071145600569781,0.9508166666666666,0.57669997215271,0.9524999856948853,,,,,,,,
1.2,0.25,6,2,0.1546660448108782,0.9557666666666667,0.5630999803543091,0.9519000053405762,,,,,,,,
1.2,0.25,7,2,0.14104434592065526,0.9594,0.536799967288971,0.9562000036239624,,,,,,,,
1.2,0.25,8,2,0.13292918962710448,0.9619833333333333,0.5417999625205994,0.9578999876976013,,,,,,,,
1.2,0.25,9,2,0.12380397996144381,0.9652166666666666,0.5428999662399292,0.958899974822998,,,,,,,,
1.2,0.25,10,2,0.11682495847741552,0.9667333333333333,0.5263000130653381,0.9580000042915344,,,,,,,,
1.2,0.25,11,2,0.1078646810911993,0.9694666666666667,0.5412999987602234,0.9594999551773071,,,,,,,,
1.2,0.25,12,2,0.1033430010326572,0.9712333333333333,0.5246999859809875,0.9578999876976013,,,,,,,,
1.2,0.25,13,2,0.09899538962730467,0.9719333333333333,0.5234000086784363,0.9580999612808228,,,,,,,,
1.2,0.25,14,2,0.09384392895328719,0.9733,0.4738999903202057,0.9558999538421631,,,,,,,,
1.2,0.25,15,2,0.08700742029837136,0.9755666666666667,0.4820999801158905,0.9451999664306641,,,,,,,,
1.2,0.25,16,2,0.08507688602865505,0.9756333333333334,0.5019999742507935,0.9663999676704407,,,,,,,,
1.2,0.25,17,2,0.0822557603328753,0.97675,0.5040000081062317,0.9638999700546265,,,,,,,,
1.2,0.25,18,2,0.07859176660437128,0.9776,0.4921000003814697,0.9580000042915344,,,,,,,,
1.2,0.25,19,2,0.07461685239712694,0.9792666666666666,0.45819997787475586,0.9632999897003174,,,,,,,,
1.2,0.25,20,2,0.06813617350100708,0.9809333333333333,0.4763000011444092,0.965499997138977,,,,,,,,
1.2,0.25,21,2,0.069150725623835,0.98005,0.47859999537467957,0.9652999639511108,,,,,,,,
1.2,0.25,22,2,0.06952406073422003,0.9799,0.4812999963760376,0.9660999774932861,,,,,,,,
1.2,0.25,23,2,0.06525479176981268,0.9814333333333334,0.4715999960899353,0.9673999547958374,,,,,,,,
1.2,0.25,24,2,0.06047562040340926,0.983,0.4560999870300293,0.9673999547958374,,,,,,,,
1.2,0.25,25,2,0.05842608764573042,0.9834166666666667,0.4406999945640564,0.9656999707221985,,,,,,,,
1.2,0.25,26,2,0.05986680523522182,0.9827833333333333,0.4569000005722046,0.9695999622344971,,,,,,,,
1.2,0.25,27,2,0.05659728436403151,0.9838666666666667,0.4553999900817871,0.9682999849319458,,,,,,,,
1.2,0.25,28,2,0.053046171328048904,0.9849333333333333,0.4355999827384949,0.9649999737739563,,,,,,,,
1.2,0.25,29,2,0.05299477390786097,0.98455,0.42829999327659607,0.9664999842643738,,,,,,,,
1.2,0.25,30,2,0.05005528437875227,0.9860666666666666,0.4000999927520752,0.9627999663352966,,,,,,,,
1.2,0.25,1,3,0.6413207389970323,0.8177833333333333,0.29350000619888306,0.7300999760627747,0.8982999920845032,,,,,,,
1.2,0.25,2,3,0.2823633189712252,0.9180166666666667,0.27070000767707825,0.7390999794006348,0.9264000058174133,,,,,,,
1.2,0.25,3,3,0.21441988024249006,0.9382166666666667,0.2602999806404114,0.6453999876976013,0.937999963760376,,,,,,,
1.2,0.25,4,3,0.1801669852756488,0.9471166666666667,0.24459999799728394,0.6308000087738037,0.9393999576568604,,,,,,,
1.2,0.25,5,3,0.1614220264210884,0.95255,0.2784999907016754,0.5960999727249146,0.9483999609947205,,,,,,,
1.2,0.25,6,3,0.14375152681142028,0.95795,0.24219998717308044,0.5498999953269958,0.9511999487876892,,,,,,,
1.2,0.25,7,3,0.13236788782610823,0.9609,0.2505999803543091,0.5647000074386597,0.9571999907493591,,,,,,,
1.2,0.25,8,3,0.12278818464212453,0.9635833333333333,0.2639999985694885,0.5595999956130981,0.9596999883651733,,,,,,,
1.2,0.25,9,3,0.11328787331991612,0.9665,0.24639999866485596,0.526699960231781,0.9596999883651733,,,,,,,
1.2,0.25,10,3,0.10783471994753331,0.9682,0.24849998950958252,0.5507999658584595,0.9572999477386475,,,,,,,
1.2,0.25,11,3,0.09982917601191031,0.97015,0.2525999844074249,0.5489000082015991,0.9596999883651733,,,,,,,
1.2,0.25,12,3,0.09546167596674232,0.9714166666666667,0.25939998030662537,0.5259000062942505,0.960099995136261,,,,,,,
1.2,0.25,13,3,0.09043168164352809,0.97305,0.2718999981880188,0.5220999717712402,0.9601999521255493,,,,,,,
1.2,0.25,14,3,0.08693676323357866,0.9739,0.2602999806404114,0.5189999938011169,0.9638999700546265,,,,,,,
1.2,0.25,15,3,0.08213474402533792,0.9761333333333333,0.25369998812675476,0.5026000142097473,0.9593999981880188,,,,,,,
1.2,0.25,16,3,0.07648205770048569,0.9770333333333333,0.2687999904155731,0.48510000109672546,0.9652999639511108,,,,,,,
1.2,0.25,17,3,0.07455532193414248,0.977,0.2705000042915344,0.46289998292922974,0.965999960899353,,,,,,,
1.2,0.25,18,3,0.07135966991874645,0.97905,0.28049999475479126,0.4902999997138977,0.9625999927520752,,,,,,,
1.2,0.25,19,3,0.06676169889750702,0.9799166666666667,0.2696000039577484,0.4514999985694885,0.9646999835968018,,,,,,,
1.2,0.25,20,3,0.0650900086638198,0.98075,0.2717999815940857,0.4887000024318695,0.965999960899353,,,,,,,
1.2,0.25,21,3,0.06012930111614054,0.9820833333333333,0.27809998393058777,0.4684000015258789,0.9630999565124512,,,,,,,
