alpha,g,epoch,task_id,train_loss,train_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,layer_0_rank,layer_1_rank,layer_2_rank,layer_3_rank,layer_4_rank,layer_5_rank,layer_6_rank,layer_7_rank,layer_8_rank,layer_9_rank,total_rank_sum
1.6,3.0,1,1,0.4768095061064084,0.9199166666666667,0.9585000276565552,,,,,,,,,,,,,,,
1.6,3.0,2,1,0.1606460656534801,0.966,0.9635000228881836,,,,,,,,,,,,,,,
1.6,3.0,3,1,0.108399999791142,0.9750833333333333,0.9650000333786011,,,,,,,,,,,,,,,
1.6,3.0,4,1,0.08517304258767833,0.9784166666666667,0.9630000591278076,,,,,,,,,,,,,,,
1.6,3.0,5,1,0.05987029289702905,0.9825,0.971500039100647,,,,,,,,,,,,,,,
1.6,3.0,6,1,0.05760349238791721,0.98475,0.9735000729560852,,,,,,,,,,,,,,,
1.6,3.0,7,1,0.043592687466484,0.98675,0.9670000672340393,,,,,,,,,,,,,,,
1.6,3.0,8,1,0.05637195763708231,0.9850833333333333,0.9695000648498535,,,,,,,,,,,,,,,
1.6,3.0,9,1,0.0550603135338764,0.9860833333333333,0.9735000729560852,,,,,,,,,,,,,,,
1.6,3.0,10,1,0.044664136141518804,0.986,0.9690000414848328,,,,,,,,,,,,,,,
1.6,3.0,11,1,0.04461717984683693,0.98675,0.9750000238418579,,,,,,,,,,,,,,,
1.6,3.0,12,1,0.024489140143912742,0.99275,0.9785000681877136,,,,,,,,,,,,,,,
1.6,3.0,13,1,0.013559974249337175,0.9954166666666666,0.9755000472068787,,,,,,,,,,,,,,,
1.6,3.0,14,1,0.007301515510102654,0.9975833333333334,0.9750000238418579,,,,,,,,,,,,,,,
1.6,3.0,15,1,0.007677650746351921,0.997,0.9755000472068787,,,,,,,,,,,,,,,
1.6,3.0,16,1,0.0034499452388232345,0.9989166666666667,0.9765000343322754,,,,,,,,,,,,,,,
1.6,3.0,17,1,0.0014447326257334468,0.9999166666666667,0.9785000681877136,,,,,,,,,,,,,,,
1.6,3.0,18,1,0.0009558046837442585,1.0,0.9780000448226929,,,,,,,,,,,,,,,
1.6,3.0,19,1,0.0006518666836819512,1.0,0.9780000448226929,,,,,,,,,,,,,,,
1.6,3.0,20,1,0.0005499742508889424,1.0,0.9780000448226929,,,,,,,,,,,,,,,
1.6,3.0,21,1,0.00048820947345217414,1.0,0.9775000214576721,,,,,,,,,,,,,,,
1.6,3.0,22,1,0.00044355677133314607,1.0,0.9775000214576721,,,,,,,,,,,,,,,
1.6,3.0,23,1,0.0004055490001113132,1.0,0.9775000214576721,,,,,,,,,,,,,,,
1.6,3.0,24,1,0.00037729423599964146,1.0,0.9780000448226929,,,,,,,,,,,,,,,
1.6,3.0,25,1,0.00035310924601830306,1.0,0.9775000214576721,,,,,,,,,,,,,,,
1.6,3.0,26,1,0.000334048084543146,1.0,0.9775000214576721,,,,,,,,,,,,,,,
