alpha,sigma,run_id,delta_t,method,layer_A,layer_B,correlation
2.0,3.0,alpha_2.0_g_3.0,1,dcor,classifier.weight,classifier.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,dcor,classifier.weight,features.0.weight,0.9805860676681987
2.0,3.0,alpha_2.0_g_3.0,1,dcor,classifier.weight,features.10.weight,0.991704011147514
2.0,3.0,alpha_2.0_g_3.0,1,dcor,classifier.weight,features.12.weight,0.996393343239179
2.0,3.0,alpha_2.0_g_3.0,1,dcor,classifier.weight,features.14.weight,0.9986681532571511
2.0,3.0,alpha_2.0_g_3.0,1,dcor,classifier.weight,features.16.weight,0.9996788922421905
2.0,3.0,alpha_2.0_g_3.0,1,dcor,classifier.weight,features.2.weight,0.974124543511555
2.0,3.0,alpha_2.0_g_3.0,1,dcor,classifier.weight,features.4.weight,0.9753025665596108
2.0,3.0,alpha_2.0_g_3.0,1,dcor,classifier.weight,features.6.weight,0.9794380131615893
2.0,3.0,alpha_2.0_g_3.0,1,dcor,classifier.weight,features.8.weight,0.9850921075299001
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.0.weight,classifier.weight,0.9805860676681987
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.0.weight,features.0.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.0.weight,features.10.weight,0.9974838078827601
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.0.weight,features.12.weight,0.9935129068619245
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.0.weight,features.14.weight,0.9893127985075815
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.0.weight,features.16.weight,0.9852103109032496
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.0.weight,features.2.weight,0.9994856855036931
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.0.weight,features.4.weight,0.9995773934306638
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.0.weight,features.6.weight,0.9998550923754295
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.0.weight,features.8.weight,0.9995025350121696
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.10.weight,classifier.weight,0.991704011147514
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.10.weight,features.0.weight,0.9974838078827601
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.10.weight,features.10.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.10.weight,features.12.weight,0.99903070529858
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.10.weight,features.14.weight,0.9970199566069141
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.10.weight,features.16.weight,0.9946484036953859
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.10.weight,features.2.weight,0.9950468420654555
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.10.weight,features.4.weight,0.9955922870651743
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.10.weight,features.6.weight,0.997249201849732
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.10.weight,features.8.weight,0.9990358085024779
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.12.weight,classifier.weight,0.996393343239179
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.12.weight,features.0.weight,0.9935129068619245
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.12.weight,features.10.weight,0.99903070529858
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.12.weight,features.12.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.12.weight,features.14.weight,0.9994453579923108
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.12.weight,features.16.weight,0.99822475053279
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.12.weight,features.2.weight,0.9897332852394503
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.12.weight,features.4.weight,0.9905144147141401
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.12.weight,features.6.weight,0.9930205238604712
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.12.weight,features.8.weight,0.9961405818115707
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.14.weight,classifier.weight,0.9986681532571511
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.14.weight,features.0.weight,0.9893127985075815
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.14.weight,features.10.weight,0.9970199566069141
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.14.weight,features.12.weight,0.9994453579923108
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.14.weight,features.14.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.14.weight,features.16.weight,0.9996546515795875
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.14.weight,features.2.weight,0.9844862798066641
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.14.weight,features.4.weight,0.9854207774436329
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.14.weight,features.6.weight,0.9885639285691741
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.14.weight,features.8.weight,0.9926738324254673
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.16.weight,classifier.weight,0.9996788922421905
