alpha,sigma,run_id,delta_t,method,layer_A,layer_B,correlation
2.0,3.0,alpha_2.0_g_3.0,1,dcor,classifier.weight,classifier.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,dcor,classifier.weight,features.0.weight,0.9870305007737582
2.0,3.0,alpha_2.0_g_3.0,1,dcor,classifier.weight,features.10.weight,0.9894466657787775
2.0,3.0,alpha_2.0_g_3.0,1,dcor,classifier.weight,features.12.weight,0.9911384398998495
2.0,3.0,alpha_2.0_g_3.0,1,dcor,classifier.weight,features.14.weight,0.993711466645943
2.0,3.0,alpha_2.0_g_3.0,1,dcor,classifier.weight,features.16.weight,0.9972879901030943
2.0,3.0,alpha_2.0_g_3.0,1,dcor,classifier.weight,features.2.weight,0.987699314886846
2.0,3.0,alpha_2.0_g_3.0,1,dcor,classifier.weight,features.4.weight,0.9878643066548667
2.0,3.0,alpha_2.0_g_3.0,1,dcor,classifier.weight,features.6.weight,0.9880917593732472
2.0,3.0,alpha_2.0_g_3.0,1,dcor,classifier.weight,features.8.weight,0.9885944680789478
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.0.weight,classifier.weight,0.9870305007737582
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.0.weight,features.0.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.0.weight,features.10.weight,0.9995415098961897
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.0.weight,features.12.weight,0.9991748935256302
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.0.weight,features.14.weight,0.9982877667592026
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.0.weight,features.16.weight,0.9956801517073246
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.0.weight,features.2.weight,0.9998787705000001
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.0.weight,features.4.weight,0.99981315412544
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.0.weight,features.6.weight,0.9997852556620851
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.0.weight,features.8.weight,0.9996988995919732
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.10.weight,classifier.weight,0.9894466657787775
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.10.weight,features.0.weight,0.9995415098961897
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.10.weight,features.10.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.10.weight,features.12.weight,0.9998797619721588
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.10.weight,features.14.weight,0.999351779882966
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.10.weight,features.16.weight,0.9972689852569396
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.10.weight,features.2.weight,0.9996821932529415
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.10.weight,features.4.weight,0.9997655508280254
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.10.weight,features.6.weight,0.9998449265468106
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.10.weight,features.8.weight,0.9999358762498886
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.12.weight,classifier.weight,0.9911384398998495
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.12.weight,features.0.weight,0.9991748935256302
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.12.weight,features.10.weight,0.9998797619721588
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.12.weight,features.12.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.12.weight,features.14.weight,0.9997371822046527
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.12.weight,features.16.weight,0.9981270880918474
