alpha,sigma,run_id,delta_t,method,layer_A,layer_B,correlation
2.0,3.0,alpha_2.0_g_3.0,1,pearson,classifier.weight,classifier.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,pearson,classifier.weight,features.0.weight,0.9430203458924654
2.0,3.0,alpha_2.0_g_3.0,1,pearson,classifier.weight,features.10.weight,0.9581086990945685
2.0,3.0,alpha_2.0_g_3.0,1,pearson,classifier.weight,features.12.weight,0.9682466249971698
2.0,3.0,alpha_2.0_g_3.0,1,pearson,classifier.weight,features.14.weight,0.981310708950076
2.0,3.0,alpha_2.0_g_3.0,1,pearson,classifier.weight,features.16.weight,0.9938373426586183
2.0,3.0,alpha_2.0_g_3.0,1,pearson,classifier.weight,features.2.weight,0.9458560652139165
2.0,3.0,alpha_2.0_g_3.0,1,pearson,classifier.weight,features.4.weight,0.9461773021060201
2.0,3.0,alpha_2.0_g_3.0,1,pearson,classifier.weight,features.6.weight,0.9483271282967409
2.0,3.0,alpha_2.0_g_3.0,1,pearson,classifier.weight,features.8.weight,0.9521153405601915
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.0.weight,classifier.weight,0.9430203458924654
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.0.weight,features.0.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.0.weight,features.10.weight,0.998505341308788
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.0.weight,features.12.weight,0.9959263686314167
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.0.weight,features.14.weight,0.9889383609453216
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.0.weight,features.16.weight,0.9735212779403477
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.0.weight,features.2.weight,0.9997721008766758
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.0.weight,features.4.weight,0.9996848216272456
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.0.weight,features.6.weight,0.999591438150207
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.0.weight,features.8.weight,0.9992901850763688
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.10.weight,classifier.weight,0.9581086990945685
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.10.weight,features.0.weight,0.998505341308788
