alpha,sigma,run_id,delta_t,method,layer_A,layer_B,correlation
2.0,3.0,alpha_2.0_g_3.0,1,spearman,classifier.weight,classifier.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,spearman,classifier.weight,features.0.weight,0.9981564574745778
2.0,3.0,alpha_2.0_g_3.0,1,spearman,classifier.weight,features.10.weight,0.9986915466308908
2.0,3.0,alpha_2.0_g_3.0,1,spearman,classifier.weight,features.12.weight,0.9988550257238914
2.0,3.0,alpha_2.0_g_3.0,1,spearman,classifier.weight,features.14.weight,0.9991102936112415
2.0,3.0,alpha_2.0_g_3.0,1,spearman,classifier.weight,features.16.weight,0.9995269825428084
2.0,3.0,alpha_2.0_g_3.0,1,spearman,classifier.weight,features.2.weight,0.9983037415164009
2.0,3.0,alpha_2.0_g_3.0,1,spearman,classifier.weight,features.4.weight,0.9983878912918854
2.0,3.0,alpha_2.0_g_3.0,1,spearman,classifier.weight,features.6.weight,0.9984720396236942
2.0,3.0,alpha_2.0_g_3.0,1,spearman,classifier.weight,features.8.weight,0.9985768900003232
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.0.weight,classifier.weight,0.9981564574745778
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.0.weight,features.0.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.0.weight,features.10.weight,0.9995367672562235
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.0.weight,features.12.weight,0.9994503242170195
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.0.weight,features.14.weight,0.9993454695737346
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.0.weight,features.16.weight,0.9990254995769092
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.0.weight,features.2.weight,0.9997458049731963
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.0.weight,features.4.weight,0.9996612132018751
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.0.weight,features.6.weight,0.9996188955873861
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.0.weight,features.8.weight,0.999584419300202
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.10.weight,classifier.weight,0.9986915466308908
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.10.weight,features.0.weight,0.9995367672562235
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.10.weight,features.10.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.10.weight,features.12.weight,0.9999190880205767
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.10.weight,features.14.weight,0.9998282663711526
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.10.weight,features.16.weight,0.9995563781194078
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.10.weight,features.2.weight,0.999678780938348
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.10.weight,features.4.weight,0.9997644296060282
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.10.weight,features.6.weight,0.9998370559550911
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.10.weight,features.8.weight,0.9999174712812744
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.12.weight,classifier.weight,0.9988550257238914
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.12.weight,features.0.weight,0.9994503242170195
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.12.weight,features.10.weight,0.9999190880205767
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.12.weight,features.12.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.12.weight,features.14.weight,0.9999105785992365
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.12.weight,features.16.weight,0.9996750334216757
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.12.weight,features.2.weight,0.9995977387541554
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.12.weight,features.4.weight,0.999690381734548
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.12.weight,features.6.weight,0.9997616917698263
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.12.weight,features.8.weight,0.9998466030640608
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.14.weight,classifier.weight,0.9991102936112415
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.14.weight,features.0.weight,0.9993454695737346
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.14.weight,features.10.weight,0.9998282663711526
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.14.weight,features.12.weight,0.9999105785992365
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.14.weight,features.14.weight,1.0
