epoch,train_loss,train_acc,test_loss,test_acc
10,0.0976460086288991,0.9722333333333333,0.17665661413434752,0.9488
20,0.04895352751219165,0.9883166666666666,0.15807235990120452,0.9574
30,0.029527956417310975,0.9942166666666666,0.1593636294703082,0.9596
40,0.019862218814562443,0.9968666666666667,0.16121078003197908,0.9602
50,0.01462610241428796,0.9981,0.16260049809389335,0.9602
60,0.011475803251606602,0.99865,0.1608534205455887,0.9614
70,0.009173429134224396,0.9991166666666667,0.16430110768363457,0.962
80,0.007652225406484992,0.9993166666666666,0.1634278512556884,0.9621
90,0.006476580730772444,0.9995833333333334,0.16673656342266704,0.9623
100,0.0055786969692710395,0.9996833333333334,0.16673998374368884,0.9627
110,0.00489267087412446,0.9997833333333334,0.16825113432128955,0.9633
120,0.004340708381615516,0.9998,0.16873143586187175,0.9635
130,0.003890050890128702,0.9998166666666667,0.16904318814395775,0.9633
140,0.003520795327079083,0.9999,0.1700996232200252,0.9638
150,0.003201755130095586,0.9999166666666667,0.1709181278736973,0.9638
