layer,epoch,loss,accuracy
0,1,1.614790458800429,0.6693
0,2,0.8250725441059824,0.7264
0,3,0.7063338827278655,0.7557
0,4,0.6518959635395115,0.7678
0,5,0.6204285177133851,0.777
0,6,0.5971452492778584,0.7869
0,7,0.5806845032562644,0.7904
0,8,0.5683415461394746,0.7962
0,9,0.5582258019406917,0.7986
0,10,0.5505067655595682,0.8002
0,11,0.5424773440522662,0.8006
0,12,0.5368931278333826,0.8033
0,13,0.531942573139223,0.8051
0,14,0.5271984000327223,0.8084
0,15,0.5233107633509878,0.806
0,16,0.5198166910874642,0.8056
0,17,0.516679178860228,0.8113
0,18,0.5144516098297248,0.8115
0,19,0.5120255391476518,0.8109
0,20,0.5081093048645278,0.8141
0,21,0.50697681964454,0.8137
0,22,0.5051320518477488,0.8121
0,23,0.5031644545369229,0.8146
0,24,0.501022374225875,0.8134
0,25,0.5000411135665441,0.8108
0,26,0.4981761206004579,0.8168
0,27,0.49695109916945635,0.8118
0,28,0.49634732432284595,0.815
0,29,0.4948493040214151,0.8173
0,30,0.49264241275140797,0.8158
1,1,1.8326793808048054,0.6182
1,2,0.99243373082856,0.684
1,3,0.8469110474748126,0.7123
1,4,0.7776963549145197,0.7346
1,5,0.7348038715831304,0.7425
1,6,0.7043338902926041,0.7513
1,7,0.6819171663058006,0.7585
1,8,0.6642908595376096,0.7612
1,9,0.6494204179715302,0.766
1,10,0.6375851136142925,0.7686
1,11,0.6275153069172875,0.7711
1,12,0.6194477455090668,0.7728
1,13,0.6118855415764501,0.774
1,14,0.6050634525590024,0.7781
1,15,0.5988525091591528,0.7801
1,16,0.5942856962397948,0.782
1,17,0.5897179862200204,0.7786
1,18,0.5850920677185059,0.7834
1,19,0.5811289245799437,0.7849
1,20,0.5777058651891805,0.7841
1,21,0.5748476729554645,0.7875
1,22,0.571481881505352,0.7859
1,23,0.5691352961427074,0.7895
1,24,0.565939080412105,0.7868
1,25,0.5639419838533564,0.7893
1,26,0.5614119692374084,0.7916
1,27,0.5590192918050088,0.7892
1,28,0.5570461022651801,0.7904
1,29,0.555334928682295,0.791
1,30,0.5538449802641141,0.7927
2,1,1.7724643521389718,0.61
2,2,1.2133753804837244,0.6664
2,3,1.0201562390489094,0.6861
2,4,0.9242630025087777,0.6981
2,5,0.8667483218645645,0.7099
2,6,0.8266908334473432,0.7164
2,7,0.7975231621225002,0.723
2,8,0.7747537968522411,0.7278
2,9,0.7560386182898182,0.733
2,10,0.7407264133631173,0.7392
2,11,0.7279830726526552,0.7458
2,12,0.7170071127051014,0.7459
2,13,0.7072463571015051,0.7503
2,14,0.6982434452590296,0.7501
2,15,0.6900603690389859,0.753
2,16,0.6833573175688922,0.753
2,17,0.6775214025529764,0.7563
2,18,0.6717856859756728,0.7562
2,19,0.66567063331604,0.7594
2,20,0.6616227879362592,0.7594
2,21,0.6565316339670602,0.7604
2,22,0.6525530754509619,0.7605
2,23,0.6485708153853982,0.761
2,24,0.6448561205702313,0.7631
2,25,0.6410824555461689,0.7651
2,26,0.6382773659997067,0.7646
2,27,0.6359096765518188,0.7639
2,28,0.6323795035734014,0.7678
