layer,epoch,loss,accuracy
0,1,0.6544162944211798,89.98
0,2,0.33660013140258144,91.08
0,3,0.311671298944344,91.37
0,4,0.3022459578716149,91.64
0,5,0.2924536979299481,91.8
0,6,0.287744869367551,91.87
0,7,0.2843822753530438,91.95
0,8,0.27946739681696486,91.99
0,9,0.2780564556182441,92.15
0,10,0.27549519857107585,92.15
0,11,0.27486439882698704,92.0
0,12,0.2729892142243304,92.18
0,13,0.2722271983906374,91.99
0,14,0.26964715678813095,92.25
0,15,0.2686654940500098,92.12
0,16,0.26823924027257046,92.32
0,17,0.2651755372851582,92.02
0,18,0.26420783693507566,92.26
0,19,0.26426396253755535,92.05
0,20,0.26701640350333716,92.33
0,21,0.26547431162858415,92.26
0,22,0.26405376903081346,92.18
0,23,0.2625153557223789,92.44
0,24,0.2596111807782771,92.23
0,25,0.26239550846107934,92.36
0,26,0.26045799785751406,92.23
0,27,0.2575309203337815,92.18
0,28,0.25998133976580734,91.89
0,29,0.25765241884579093,92.43
0,30,0.25868748785075496,92.35
1,1,0.6609052146895457,89.26
1,2,0.318089946851892,91.42
1,3,0.274790383749089,92.37
1,4,0.24998898728419158,92.72
1,5,0.23315451205787013,93.04
1,6,0.22312548832368043,93.05
1,7,0.21198432980957677,93.2
1,8,0.20362677564055232,93.63
1,9,0.19753147535404916,93.51
1,10,0.19278868957091186,93.62
1,11,0.18830453465550634,93.71
1,12,0.18554569124165227,93.84
1,13,0.18006310169979678,93.81
1,14,0.17806881085290746,93.96
1,15,0.1755618710639113,93.93
1,16,0.1725602210578272,93.9
1,17,0.17036990177328304,93.93
1,18,0.16815240706427623,93.8
1,19,0.1655126251911713,94.06
1,20,0.1640781613729768,93.98
1,21,0.16274825016320763,93.94
1,22,0.16234255039085776,94.04
1,23,0.15844701318922688,94.13
1,24,0.1575129909788148,93.88
1,25,0.15726508983110976,94.19
1,26,0.1568239013017234,93.9
1,27,0.1546958192425259,94.17
1,28,0.15266627490015353,94.24
1,29,0.15109541481834346,94.15
1,30,0.15100347515890153,93.95
2,1,0.7437730391146773,88.61
2,2,0.342767087584835,90.41
2,3,0.29653897881507874,91.04
2,4,0.26923411832017413,91.69
2,5,0.2506854175511053,92.26
2,6,0.2383505563109608,92.52
2,7,0.22873638898639356,92.85
2,8,0.22022781104354536,92.86
2,9,0.21419575052746273,92.87
2,10,0.20832844735202144,92.93
2,11,0.20390741148237454,93.04
2,12,0.19932443787485865,93.27
2,13,0.19669207273903538,93.24
2,14,0.19299237202789823,93.14
2,15,0.18970969496137005,92.85
2,16,0.1886036370770406,92.79
2,17,0.185880179627467,93.46
2,18,0.18404009584653175,93.36
2,19,0.1840993979219663,93.24
2,20,0.17957413575406803,93.08
2,21,0.17987643131765269,93.2
2,22,0.1762933146397946,93.5
2,23,0.17431398114915622,93.2
2,24,0.1733790989649498,93.52
2,25,0.1731009906378843,93.3
2,26,0.17123319562208855,93.56
2,27,0.17017019426418564,93.29
2,28,0.17041428008321988,93.17
2,29,0.1695088327436124,93.3
2,30,0.16699517530910038,93.31
3,1,0.8330065259488962,87.13
3,2,0.38025144601272326,89.19
3,3,0.3297676696615704,90.28
3,4,0.3009121069463633,90.96
3,5,0.28299479817940015,91.18
3,6,0.2699893642280061,91.57
3,7,0.2600074804435342,91.44
3,8,0.25129038247011476,91.92
3,9,0.24522457259186245,91.9
3,10,0.23976094086291427,91.87
3,11,0.23464103169360404,92.12
3,12,0.23157140764139467,91.97
3,13,0.22731452649932796,91.84
3,14,0.22293903261928236,92.05
3,15,0.2216480773384288,92.08
3,16,0.21826557890843537,92.3
