run_id,alpha,sigma,lr,layer,delta_t,msd,std_msd,pair_count
alpha_1.2_g_0.25,1.2,0.25,,GLOBAL_MODEL,1,0.0010111410382124576,0.0005909428245984649,649
alpha_1.2_g_0.25,1.2,0.25,,GLOBAL_MODEL,2,0.0020777130909255836,0.0009675121859846832,648
alpha_1.2_g_0.25,1.2,0.25,,GLOBAL_MODEL,3,0.0034674796099721183,0.0018688265316998093,647
alpha_1.2_g_0.25,1.2,0.25,,GLOBAL_MODEL,4,0.0052073940340332065,0.0033278515958701867,646
alpha_1.2_g_0.25,1.2,0.25,,GLOBAL_MODEL,6,0.009787476251821182,0.007711435653630186,644
alpha_1.2_g_0.25,1.2,0.25,,GLOBAL_MODEL,8,0.015824958477915513,0.013906230600485436,642
alpha_1.2_g_0.25,1.2,0.25,,GLOBAL_MODEL,12,0.03221279909330491,0.031246710169064825,638
alpha_1.2_g_0.25,1.2,0.25,,GLOBAL_MODEL,16,0.05408356654672607,0.054485917324738974,634
alpha_1.2_g_0.25,1.2,0.25,,GLOBAL_MODEL,24,0.11284403564871619,0.11576195971592898,626
alpha_1.2_g_0.25,1.2,0.25,,GLOBAL_MODEL,32,0.18936850399405825,0.1925566080942307,618
alpha_1.2_g_0.25,1.2,0.25,,GLOBAL_MODEL,48,0.3870848768048044,0.3788229698983693,602
alpha_1.2_g_0.25,1.2,0.25,,GLOBAL_MODEL,64,0.6350371718204838,0.5979518685430926,586
alpha_1.2_g_0.25,1.2,0.25,,GLOBAL_MODEL,96,1.2537835135758393,1.1124786572079433,554
alpha_1.2_g_0.25,1.2,0.25,,GLOBAL_MODEL,128,2.0002988819991883,1.6845145701636146,522
alpha_1.2_g_0.25,1.2,0.25,,classifier.weight,1,7.1103385832706e-05,8.154215297491927e-05,649
alpha_1.2_g_0.25,1.2,0.25,,classifier.weight,2,0.00028459613906621305,0.0003260276039131717,648
alpha_1.2_g_0.25,1.2,0.25,,classifier.weight,3,0.0006407927962635426,0.0007329891887336668,647
alpha_1.2_g_0.25,1.2,0.25,,classifier.weight,4,0.0011398521115557915,0.0013016268524237437,646
alpha_1.2_g_0.25,1.2,0.25,,classifier.weight,6,0.0025664796920531027,0.0029191786504828127,644
alpha_1.2_g_0.25,1.2,0.25,,classifier.weight,8,0.004563115534639277,0.005166495133594634,642
alpha_1.2_g_0.25,1.2,0.25,,classifier.weight,12,0.010252811695285014,0.011483077284032075,638
alpha_1.2_g_0.25,1.2,0.25,,classifier.weight,16,0.018168756157789255,0.02008971594256109,634
alpha_1.2_g_0.25,1.2,0.25,,classifier.weight,24,0.04041005844354835,0.04343046030612322,626
alpha_1.2_g_0.25,1.2,0.25,,classifier.weight,32,0.07053482480491075,0.07375655495403355,618
alpha_1.2_g_0.25,1.2,0.25,,classifier.weight,48,0.15090514593247165,0.1503809711085346,602
alpha_1.2_g_0.25,1.2,0.25,,classifier.weight,64,0.2535580350054307,0.24270565330783705,586
alpha_1.2_g_0.25,1.2,0.25,,classifier.weight,96,0.5144203310892901,0.4645185521993675,554
alpha_1.2_g_0.25,1.2,0.25,,classifier.weight,128,0.8367325192552874,0.7216857218861129,522
alpha_1.2_g_0.25,1.2,0.25,,features.0.weight,1,0.0005710634516761916,0.0004398107395984459,649
alpha_1.2_g_0.25,1.2,0.25,,features.0.weight,2,0.0009731518027848201,0.000599437559762246,648
alpha_1.2_g_0.25,1.2,0.25,,features.0.weight,3,0.0013608397279048794,0.0007103971729185355,647
alpha_1.2_g_0.25,1.2,0.25,,features.0.weight,4,0.0017543724865019005,0.0007998743862203955,646
alpha_1.2_g_0.25,1.2,0.25,,features.0.weight,6,0.002599124792440482,0.0009587602892229879,644
alpha_1.2_g_0.25,1.2,0.25,,features.0.weight,8,0.0035364818394784687,0.0011749789904906731,642
alpha_1.2_g_0.25,1.2,0.25,,features.0.weight,12,0.00576321071843678,0.002031547985324482,638
alpha_1.2_g_0.25,1.2,0.25,,features.0.weight,16,0.008475839526154548,0.0033946934403750965,634
alpha_1.2_g_0.25,1.2,0.25,,features.0.weight,24,0.0152961633133943,0.007268924833767749,626
