epoch,train_loss,train_acc,test_loss,test_acc
10,0.2453930280419555,0.9318666666666666,0.2414769213882428,0.9325
20,0.19629709888845365,0.9450666666666667,0.20353733019643946,0.9437
30,0.16779745177133507,0.95325,0.18060523637016362,0.949
40,0.14686054143824304,0.9592333333333334,0.16273222031967738,0.9518
50,0.13042643554270394,0.9638,0.15025032433103533,0.956
60,0.11706264817447805,0.96835,0.1397799413556917,0.9585
70,0.10594181289900341,0.9718666666666667,0.1310989325335603,0.9617
80,0.09662325145291494,0.9744833333333334,0.12345226928945395,0.9632
90,0.08848963887182507,0.9767333333333333,0.1181640054682812,0.9649
100,0.08149458459620156,0.97905,0.11285773620799278,0.9656
110,0.0753754852994927,0.98125,0.10837035048222524,0.9673
120,0.06984626731352765,0.9828833333333333,0.10459540140390679,0.9681
130,0.06508194023310375,0.9845666666666667,0.10139443029213367,0.9687
140,0.060723166595072126,0.9858333333333333,0.09867345170954926,0.9686
150,0.056828235671210134,0.9868833333333333,0.09594567226764711,0.9701
