Logging initialized in: training_runs/mnist_mlp_sweep/alpha_1.2_g_1.0/GeneralMLP_LR0.001_BS1024_20260427_193210_s4
Overwriting weights with Heavy-Tailed Distribution (α=1.2, g=1.0)
Applying HT Init: alpha=1.2, g=1.0, seed=4
Epoch 0 | Train Acc: 0.0853 | Test Acc: 0.0810
Epoch 1 | Train Acc: 0.1042 | Test Acc: 0.1018
Epoch 2 | Train Acc: 0.0991 | Test Acc: 0.1010
Epoch 3 | Train Acc: 0.1077 | Test Acc: 0.1343
Epoch 4 | Train Acc: 0.1544 | Test Acc: 0.1680
Epoch 5 | Train Acc: 0.1286 | Test Acc: 0.1808
Epoch 6 | Train Acc: 0.1168 | Test Acc: 0.1135
Epoch 7 | Train Acc: 0.1124 | Test Acc: 0.1135
Epoch 8 | Train Acc: 0.1125 | Test Acc: 0.1135
Epoch 9 | Train Acc: 0.1124 | Test Acc: 0.1139
Epoch 10 | Train Acc: 0.1178 | Test Acc: 0.1135
Epoch 11 | Train Acc: 0.1179 | Test Acc: 0.1135
Epoch 12 | Train Acc: 0.1129 | Test Acc: 0.1135
Epoch 13 | Train Acc: 0.1136 | Test Acc: 0.1135
Epoch 14 | Train Acc: 0.1363 | Test Acc: 0.1809
Epoch 15 | Train Acc: 0.1945 | Test Acc: 0.2026
Epoch 16 | Train Acc: 0.2047 | Test Acc: 0.2186
Epoch 17 | Train Acc: 0.2163 | Test Acc: 0.2061
Epoch 18 | Train Acc: 0.2107 | Test Acc: 0.2138
Epoch 19 | Train Acc: 0.2148 | Test Acc: 0.2175
Epoch 20 | Train Acc: 0.2115 | Test Acc: 0.2318
Epoch 21 | Train Acc: 0.2130 | Test Acc: 0.2251
Epoch 22 | Train Acc: 0.2139 | Test Acc: 0.2336
Epoch 23 | Train Acc: 0.2156 | Test Acc: 0.2148
Epoch 24 | Train Acc: 0.2122 | Test Acc: 0.2190
Epoch 25 | Train Acc: 0.2206 | Test Acc: 0.2102
Epoch 26 | Train Acc: 0.2169 | Test Acc: 0.2272
Epoch 27 | Train Acc: 0.2192 | Test Acc: 0.2176
Epoch 28 | Train Acc: 0.2193 | Test Acc: 0.1508
Epoch 29 | Train Acc: 0.2146 | Test Acc: 0.2185
Epoch 30 | Train Acc: 0.2177 | Test Acc: 0.2195
Epoch 31 | Train Acc: 0.2205 | Test Acc: 0.2503
Epoch 32 | Train Acc: 0.2214 | Test Acc: 0.2488
Epoch 33 | Train Acc: 0.2317 | Test Acc: 0.2147
Epoch 34 | Train Acc: 0.2233 | Test Acc: 0.2699
Epoch 35 | Train Acc: 0.2262 | Test Acc: 0.2176
Epoch 36 | Train Acc: 0.2230 | Test Acc: 0.2148
Epoch 37 | Train Acc: 0.2272 | Test Acc: 0.2350
Epoch 38 | Train Acc: 0.2325 | Test Acc: 0.2316
Epoch 39 | Train Acc: 0.2491 | Test Acc: 0.2304
Epoch 40 | Train Acc: 0.2344 | Test Acc: 0.2137
Epoch 41 | Train Acc: 0.2305 | Test Acc: 0.2805
Epoch 42 | Train Acc: 0.2515 | Test Acc: 0.2164
Epoch 43 | Train Acc: 0.2536 | Test Acc: 0.2212
Epoch 44 | Train Acc: 0.2476 | Test Acc: 0.2776
Epoch 45 | Train Acc: 0.2613 | Test Acc: 0.2617
Epoch 46 | Train Acc: 0.2547 | Test Acc: 0.2828
Epoch 47 | Train Acc: 0.2777 | Test Acc: 0.2450
Epoch 48 | Train Acc: 0.2586 | Test Acc: 0.2387
Epoch 49 | Train Acc: 0.2681 | Test Acc: 0.2658
Epoch 50 | Train Acc: 0.2708 | Test Acc: 0.2713
Epoch 51 | Train Acc: 0.2802 | Test Acc: 0.2712
Epoch 52 | Train Acc: 0.2845 | Test Acc: 0.2678
Epoch 53 | Train Acc: 0.2807 | Test Acc: 0.2635
Epoch 54 | Train Acc: 0.2844 | Test Acc: 0.2727
Epoch 55 | Train Acc: 0.2856 | Test Acc: 0.2796
Epoch 56 | Train Acc: 0.2799 | Test Acc: 0.3374
Epoch 57 | Train Acc: 0.2992 | Test Acc: 0.2778
Epoch 58 | Train Acc: 0.2882 | Test Acc: 0.3442
Epoch 59 | Train Acc: 0.3095 | Test Acc: 0.2688
Epoch 60 | Train Acc: 0.2893 | Test Acc: 0.3344
Epoch 61 | Train Acc: 0.2968 | Test Acc: 0.3224
Epoch 62 | Train Acc: 0.2967 | Test Acc: 0.3407
Epoch 63 | Train Acc: 0.3029 | Test Acc: 0.3235
Epoch 64 | Train Acc: 0.3048 | Test Acc: 0.2712
Epoch 65 | Train Acc: 0.2942 | Test Acc: 0.2749
Epoch 66 | Train Acc: 0.2968 | Test Acc: 0.3240
Epoch 67 | Train Acc: 0.3083 | Test Acc: 0.3102
Epoch 68 | Train Acc: 0.3105 | Test Acc: 0.2646
Epoch 69 | Train Acc: 0.2876 | Test Acc: 0.3156
Epoch 70 | Train Acc: 0.3063 | Test Acc: 0.3335
Epoch 71 | Train Acc: 0.3178 | Test Acc: 0.3073
Epoch 72 | Train Acc: 0.3022 | Test Acc: 0.3164
Epoch 73 | Train Acc: 0.3177 | Test Acc: 0.3428
Epoch 74 | Train Acc: 0.3096 | Test Acc: 0.2771
Epoch 75 | Train Acc: 0.3020 | Test Acc: 0.3289
Epoch 76 | Train Acc: 0.3100 | Test Acc: 0.3380
Epoch 77 | Train Acc: 0.3266 | Test Acc: 0.3542
Epoch 78 | Train Acc: 0.3267 | Test Acc: 0.3494
Epoch 79 | Train Acc: 0.3254 | Test Acc: 0.3224
Epoch 80 | Train Acc: 0.3249 | Test Acc: 0.3459
Epoch 81 | Train Acc: 0.3396 | Test Acc: 0.3127
Epoch 82 | Train Acc: 0.3317 | Test Acc: 0.3381
Epoch 83 | Train Acc: 0.3369 | Test Acc: 0.3473
Epoch 84 | Train Acc: 0.3297 | Test Acc: 0.3189
Epoch 85 | Train Acc: 0.3241 | Test Acc: 0.3264
Epoch 86 | Train Acc: 0.3301 | Test Acc: 0.3346
Epoch 87 | Train Acc: 0.3394 | Test Acc: 0.3475
Epoch 88 | Train Acc: 0.3451 | Test Acc: 0.3599
Epoch 89 | Train Acc: 0.3504 | Test Acc: 0.3620
Epoch 90 | Train Acc: 0.3590 | Test Acc: 0.3609
Epoch 91 | Train Acc: 0.3615 | Test Acc: 0.3689
Epoch 92 | Train Acc: 0.3586 | Test Acc: 0.3628
Epoch 93 | Train Acc: 0.3560 | Test Acc: 0.3648
Epoch 94 | Train Acc: 0.3625 | Test Acc: 0.3642
Epoch 95 | Train Acc: 0.3625 | Test Acc: 0.3632
Epoch 96 | Train Acc: 0.3624 | Test Acc: 0.3762
Epoch 97 | Train Acc: 0.3685 | Test Acc: 0.3666
Epoch 98 | Train Acc: 0.3669 | Test Acc: 0.3742
Epoch 99 | Train Acc: 0.3702 | Test Acc: 0.3657
Epoch 100 | Train Acc: 0.3689 | Test Acc: 0.3816
Epoch 101 | Train Acc: 0.3732 | Test Acc: 0.3746
Epoch 102 | Train Acc: 0.3721 | Test Acc: 0.3738
Epoch 103 | Train Acc: 0.3730 | Test Acc: 0.3825
Epoch 104 | Train Acc: 0.3740 | Test Acc: 0.3766
Epoch 105 | Train Acc: 0.3750 | Test Acc: 0.3774
Epoch 106 | Train Acc: 0.3755 | Test Acc: 0.3767
Epoch 107 | Train Acc: 0.3772 | Test Acc: 0.3768
Epoch 108 | Train Acc: 0.3758 | Test Acc: 0.3824
Epoch 109 | Train Acc: 0.3785 | Test Acc: 0.3757
Epoch 110 | Train Acc: 0.3758 | Test Acc: 0.3884
Epoch 111 | Train Acc: 0.3785 | Test Acc: 0.3839
Epoch 112 | Train Acc: 0.3787 | Test Acc: 0.3782
Epoch 113 | Train Acc: 0.3786 | Test Acc: 0.3833
Epoch 114 | Train Acc: 0.3800 | Test Acc: 0.3796
Epoch 115 | Train Acc: 0.3799 | Test Acc: 0.3760
Epoch 116 | Train Acc: 0.3784 | Test Acc: 0.3848
Epoch 117 | Train Acc: 0.3812 | Test Acc: 0.3865
Epoch 118 | Train Acc: 0.3845 | Test Acc: 0.3898
Epoch 119 | Train Acc: 0.3881 | Test Acc: 0.3928
Epoch 120 | Train Acc: 0.3931 | Test Acc: 0.3958
Epoch 121 | Train Acc: 0.3950 | Test Acc: 0.3977
Epoch 122 | Train Acc: 0.3978 | Test Acc: 0.4142
Epoch 123 | Train Acc: 0.4028 | Test Acc: 0.4057
Epoch 124 | Train Acc: 0.3992 | Test Acc: 0.4090
Epoch 125 | Train Acc: 0.4071 | Test Acc: 0.4169
Epoch 126 | Train Acc: 0.4069 | Test Acc: 0.4072
Epoch 127 | Train Acc: 0.4111 | Test Acc: 0.3979
Epoch 128 | Train Acc: 0.4116 | Test Acc: 0.4386
Epoch 129 | Train Acc: 0.4178 | Test Acc: 0.4321
Epoch 130 | Train Acc: 0.4248 | Test Acc: 0.4331
Epoch 131 | Train Acc: 0.4223 | Test Acc: 0.4582
Epoch 132 | Train Acc: 0.4315 | Test Acc: 0.4317
Epoch 133 | Train Acc: 0.4425 | Test Acc: 0.4597
Epoch 134 | Train Acc: 0.4612 | Test Acc: 0.4782
Epoch 135 | Train Acc: 0.4736 | Test Acc: 0.4402
Epoch 136 | Train Acc: 0.4804 | Test Acc: 0.5095
Epoch 137 | Train Acc: 0.4911 | Test Acc: 0.4913
Epoch 138 | Train Acc: 0.4916 | Test Acc: 0.4915
Epoch 139 | Train Acc: 0.4966 | Test Acc: 0.5048
Epoch 140 | Train Acc: 0.5026 | Test Acc: 0.5143
Epoch 141 | Train Acc: 0.5085 | Test Acc: 0.5135
Epoch 142 | Train Acc: 0.5144 | Test Acc: 0.5113
Epoch 143 | Train Acc: 0.5151 | Test Acc: 0.5180
Epoch 144 | Train Acc: 0.5184 | Test Acc: 0.5448
Epoch 145 | Train Acc: 0.5210 | Test Acc: 0.5180
Epoch 146 | Train Acc: 0.5311 | Test Acc: 0.5331
Epoch 147 | Train Acc: 0.5308 | Test Acc: 0.5350
Epoch 148 | Train Acc: 0.5338 | Test Acc: 0.5433
Epoch 149 | Train Acc: 0.5376 | Test Acc: 0.5303
Epoch 150 | Train Acc: 0.5399 | Test Acc: 0.5549
Epoch 151 | Train Acc: 0.5464 | Test Acc: 0.5526
Epoch 152 | Train Acc: 0.5491 | Test Acc: 0.5379
Epoch 153 | Train Acc: 0.5463 | Test Acc: 0.5474
Epoch 154 | Train Acc: 0.5503 | Test Acc: 0.5691
Epoch 155 | Train Acc: 0.5559 | Test Acc: 0.5713
Epoch 156 | Train Acc: 0.5542 | Test Acc: 0.5668
Epoch 157 | Train Acc: 0.5700 | Test Acc: 0.5720
Epoch 158 | Train Acc: 0.5745 | Test Acc: 0.5768
Epoch 159 | Train Acc: 0.5730 | Test Acc: 0.5878
Epoch 160 | Train Acc: 0.5846 | Test Acc: 0.6057
Epoch 161 | Train Acc: 0.5757 | Test Acc: 0.6104
Epoch 162 | Train Acc: 0.5891 | Test Acc: 0.5843
Epoch 163 | Train Acc: 0.5849 | Test Acc: 0.6477
Epoch 164 | Train Acc: 0.6161 | Test Acc: 0.5718
Epoch 165 | Train Acc: 0.6225 | Test Acc: 0.6704
Epoch 166 | Train Acc: 0.6527 | Test Acc: 0.6732
Epoch 167 | Train Acc: 0.6467 | Test Acc: 0.7203
Epoch 168 | Train Acc: 0.6686 | Test Acc: 0.7059
Epoch 169 | Train Acc: 0.6574 | Test Acc: 0.7009
Epoch 170 | Train Acc: 0.6763 | Test Acc: 0.6877
Epoch 171 | Train Acc: 0.6841 | Test Acc: 0.7032
Epoch 172 | Train Acc: 0.6862 | Test Acc: 0.6842
Epoch 173 | Train Acc: 0.6888 | Test Acc: 0.6933
Epoch 174 | Train Acc: 0.6866 | Test Acc: 0.6941
Epoch 175 | Train Acc: 0.6978 | Test Acc: 0.7008
Epoch 176 | Train Acc: 0.7028 | Test Acc: 0.7063
Epoch 177 | Train Acc: 0.7070 | Test Acc: 0.7083
Epoch 178 | Train Acc: 0.7090 | Test Acc: 0.7058
Epoch 179 | Train Acc: 0.7132 | Test Acc: 0.7263
Epoch 180 | Train Acc: 0.7172 | Test Acc: 0.7149
Epoch 181 | Train Acc: 0.7196 | Test Acc: 0.7170
Epoch 182 | Train Acc: 0.7212 | Test Acc: 0.7246
Epoch 183 | Train Acc: 0.7244 | Test Acc: 0.7242
Epoch 184 | Train Acc: 0.7209 | Test Acc: 0.7370
Epoch 185 | Train Acc: 0.7304 | Test Acc: 0.7239
Epoch 186 | Train Acc: 0.7282 | Test Acc: 0.7216
Epoch 187 | Train Acc: 0.7325 | Test Acc: 0.7210
Epoch 188 | Train Acc: 0.7234 | Test Acc: 0.7370
Epoch 189 | Train Acc: 0.7342 | Test Acc: 0.7464
Epoch 190 | Train Acc: 0.7275 | Test Acc: 0.7456
Epoch 191 | Train Acc: 0.7416 | Test Acc: 0.7285
Epoch 192 | Train Acc: 0.7290 | Test Acc: 0.7396
Epoch 193 | Train Acc: 0.7410 | Test Acc: 0.7270
Epoch 194 | Train Acc: 0.7342 | Test Acc: 0.7329
Epoch 195 | Train Acc: 0.7380 | Test Acc: 0.7418
Epoch 196 | Train Acc: 0.7430 | Test Acc: 0.7357
Epoch 197 | Train Acc: 0.7417 | Test Acc: 0.7379
Epoch 198 | Train Acc: 0.7450 | Test Acc: 0.7448
Epoch 199 | Train Acc: 0.7496 | Test Acc: 0.7192
Epoch 200 | Train Acc: 0.7530 | Test Acc: 0.7348
Epoch 201 | Train Acc: 0.7445 | Test Acc: 0.7416
Epoch 202 | Train Acc: 0.7487 | Test Acc: 0.7544
Epoch 203 | Train Acc: 0.7516 | Test Acc: 0.7389
Epoch 204 | Train Acc: 0.7550 | Test Acc: 0.7446
Epoch 205 | Train Acc: 0.7584 | Test Acc: 0.7415
Epoch 206 | Train Acc: 0.7570 | Test Acc: 0.7786
Epoch 207 | Train Acc: 0.7661 | Test Acc: 0.7405
Epoch 208 | Train Acc: 0.7634 | Test Acc: 0.7730
Epoch 209 | Train Acc: 0.7633 | Test Acc: 0.7504
Epoch 210 | Train Acc: 0.7681 | Test Acc: 0.7481
Epoch 211 | Train Acc: 0.7716 | Test Acc: 0.7392
Epoch 212 | Train Acc: 0.7660 | Test Acc: 0.7844
Epoch 213 | Train Acc: 0.7646 | Test Acc: 0.7682
Epoch 214 | Train Acc: 0.7800 | Test Acc: 0.7444
Epoch 215 | Train Acc: 0.7671 | Test Acc: 0.7679
Epoch 216 | Train Acc: 0.7762 | Test Acc: 0.8052
Epoch 217 | Train Acc: 0.7864 | Test Acc: 0.7780
Epoch 218 | Train Acc: 0.7733 | Test Acc: 0.7768
Epoch 219 | Train Acc: 0.7839 | Test Acc: 0.7640
Epoch 220 | Train Acc: 0.7784 | Test Acc: 0.7876
Epoch 221 | Train Acc: 0.7863 | Test Acc: 0.8006
Epoch 222 | Train Acc: 0.7956 | Test Acc: 0.7504
Epoch 223 | Train Acc: 0.7865 | Test Acc: 0.7412
Epoch 224 | Train Acc: 0.7998 | Test Acc: 0.7967
Epoch 225 | Train Acc: 0.7964 | Test Acc: 0.8042
Epoch 226 | Train Acc: 0.7942 | Test Acc: 0.7896
Epoch 227 | Train Acc: 0.8061 | Test Acc: 0.8049
Epoch 228 | Train Acc: 0.8067 | Test Acc: 0.7852
Epoch 229 | Train Acc: 0.8046 | Test Acc: 0.8079
Epoch 230 | Train Acc: 0.8103 | Test Acc: 0.7851
Epoch 231 | Train Acc: 0.8051 | Test Acc: 0.8077
Epoch 232 | Train Acc: 0.8107 | Test Acc: 0.7800
Epoch 233 | Train Acc: 0.8060 | Test Acc: 0.7953
Epoch 234 | Train Acc: 0.8115 | Test Acc: 0.8092
Epoch 235 | Train Acc: 0.8159 | Test Acc: 0.8099
Epoch 236 | Train Acc: 0.8166 | Test Acc: 0.8302
Epoch 237 | Train Acc: 0.8185 | Test Acc: 0.7938
Epoch 238 | Train Acc: 0.8184 | Test Acc: 0.7884
Epoch 239 | Train Acc: 0.8190 | Test Acc: 0.8176
Epoch 240 | Train Acc: 0.8229 | Test Acc: 0.8160
Epoch 241 | Train Acc: 0.8242 | Test Acc: 0.7878
Epoch 242 | Train Acc: 0.8202 | Test Acc: 0.8325
Epoch 243 | Train Acc: 0.8236 | Test Acc: 0.8157
