Logging initialized in: runs_symlink/mnist_mlp_sweep/alpha_1.2_g_3.0/GeneralMLP_LR0.001_BS1024_20260501_230859_s9
Overwriting weights with Heavy-Tailed Distribution (α=1.2, g=3.0)
Applying HT Init: alpha=1.2, g=3.0, seed=9
Epoch 0 | Train Acc: 0.0989 | Test Acc: 0.0990
Epoch 1 | Train Acc: 0.4433 | Test Acc: 0.6161
Epoch 2 | Train Acc: 0.6566 | Test Acc: 0.7011
Epoch 3 | Train Acc: 0.7190 | Test Acc: 0.7479
Epoch 4 | Train Acc: 0.7611 | Test Acc: 0.7771
Epoch 5 | Train Acc: 0.7862 | Test Acc: 0.7971
Epoch 6 | Train Acc: 0.8092 | Test Acc: 0.8127
Epoch 7 | Train Acc: 0.8252 | Test Acc: 0.8254
Epoch 8 | Train Acc: 0.8332 | Test Acc: 0.8361
Epoch 9 | Train Acc: 0.8461 | Test Acc: 0.8457
Epoch 10 | Train Acc: 0.8559 | Test Acc: 0.8494
Epoch 11 | Train Acc: 0.8633 | Test Acc: 0.8568
Epoch 12 | Train Acc: 0.8673 | Test Acc: 0.8555
Epoch 13 | Train Acc: 0.8670 | Test Acc: 0.8599
Epoch 14 | Train Acc: 0.8753 | Test Acc: 0.8597
Epoch 15 | Train Acc: 0.8764 | Test Acc: 0.8640
Epoch 16 | Train Acc: 0.8828 | Test Acc: 0.8657
Epoch 17 | Train Acc: 0.8871 | Test Acc: 0.8705
Epoch 18 | Train Acc: 0.8926 | Test Acc: 0.8754
Epoch 19 | Train Acc: 0.8966 | Test Acc: 0.8785
Epoch 20 | Train Acc: 0.8991 | Test Acc: 0.8784
Epoch 21 | Train Acc: 0.8985 | Test Acc: 0.8843
Epoch 22 | Train Acc: 0.9056 | Test Acc: 0.8815
Epoch 23 | Train Acc: 0.9095 | Test Acc: 0.8836
Epoch 24 | Train Acc: 0.9086 | Test Acc: 0.8858
Epoch 25 | Train Acc: 0.9079 | Test Acc: 0.8891
Epoch 26 | Train Acc: 0.9140 | Test Acc: 0.8922
Epoch 27 | Train Acc: 0.9166 | Test Acc: 0.8955
Epoch 28 | Train Acc: 0.9197 | Test Acc: 0.8977
Epoch 29 | Train Acc: 0.9251 | Test Acc: 0.8944
Epoch 30 | Train Acc: 0.9278 | Test Acc: 0.9007
Epoch 31 | Train Acc: 0.9302 | Test Acc: 0.8991
Epoch 32 | Train Acc: 0.9306 | Test Acc: 0.9023
Epoch 33 | Train Acc: 0.9353 | Test Acc: 0.9009
Epoch 34 | Train Acc: 0.9287 | Test Acc: 0.8950
Epoch 35 | Train Acc: 0.9218 | Test Acc: 0.8987
Epoch 36 | Train Acc: 0.9285 | Test Acc: 0.9020
Epoch 37 | Train Acc: 0.9303 | Test Acc: 0.9020
Epoch 38 | Train Acc: 0.9348 | Test Acc: 0.9040
Epoch 39 | Train Acc: 0.9398 | Test Acc: 0.9037
Epoch 40 | Train Acc: 0.9435 | Test Acc: 0.9050
Epoch 41 | Train Acc: 0.9459 | Test Acc: 0.9080
Epoch 42 | Train Acc: 0.9478 | Test Acc: 0.9081
