Logging initialized in: mnist_mlp_sweep/alpha_1.5_g_0.25/GeneralMLP_LR0.001_BS1024_20260318_123412_s0
Overwriting weights with Heavy-Tailed Distribution (α=1.5, g=0.25)
Applying HT Init: alpha=1.5, g=0.25, seed=0
Epoch 0 | Train Acc: 0.1206 | Test Acc: 0.1247
Epoch 1 | Train Acc: 0.1415 | Test Acc: 0.1611
Epoch 2 | Train Acc: 0.1669 | Test Acc: 0.1729
Epoch 3 | Train Acc: 0.1751 | Test Acc: 0.1777
Epoch 4 | Train Acc: 0.1792 | Test Acc: 0.1811
Epoch 5 | Train Acc: 0.1825 | Test Acc: 0.1840
Epoch 6 | Train Acc: 0.1851 | Test Acc: 0.1869
Epoch 7 | Train Acc: 0.1872 | Test Acc: 0.1884
Epoch 8 | Train Acc: 0.1885 | Test Acc: 0.1893
Epoch 9 | Train Acc: 0.1895 | Test Acc: 0.1899
Epoch 10 | Train Acc: 0.1906 | Test Acc: 0.1905
Epoch 11 | Train Acc: 0.1895 | Test Acc: 0.1848
Epoch 12 | Train Acc: 0.1858 | Test Acc: 0.1892
Epoch 13 | Train Acc: 0.2092 | Test Acc: 0.2229
Epoch 14 | Train Acc: 0.2291 | Test Acc: 0.2290
Epoch 15 | Train Acc: 0.2256 | Test Acc: 0.2197
Epoch 16 | Train Acc: 0.2180 | Test Acc: 0.2149
Epoch 17 | Train Acc: 0.2147 | Test Acc: 0.2128
Epoch 18 | Train Acc: 0.2135 | Test Acc: 0.2122
Epoch 19 | Train Acc: 0.2133 | Test Acc: 0.2117
Epoch 20 | Train Acc: 0.2131 | Test Acc: 0.2112
Epoch 21 | Train Acc: 0.2132 | Test Acc: 0.2114
Epoch 22 | Train Acc: 0.2131 | Test Acc: 0.2113
Epoch 23 | Train Acc: 0.2131 | Test Acc: 0.2114
Epoch 24 | Train Acc: 0.2131 | Test Acc: 0.2113
Epoch 25 | Train Acc: 0.2132 | Test Acc: 0.2114
Epoch 26 | Train Acc: 0.2132 | Test Acc: 0.2115
Epoch 27 | Train Acc: 0.2132 | Test Acc: 0.2117
Epoch 28 | Train Acc: 0.2133 | Test Acc: 0.2116
Epoch 29 | Train Acc: 0.2132 | Test Acc: 0.2116
Epoch 30 | Train Acc: 0.2132 | Test Acc: 0.2116
Epoch 31 | Train Acc: 0.2132 | Test Acc: 0.2117
Epoch 32 | Train Acc: 0.2132 | Test Acc: 0.2117
Epoch 33 | Train Acc: 0.2132 | Test Acc: 0.2116
Epoch 34 | Train Acc: 0.2132 | Test Acc: 0.2116
Epoch 35 | Train Acc: 0.2132 | Test Acc: 0.2117
Epoch 36 | Train Acc: 0.2132 | Test Acc: 0.2116
Epoch 37 | Train Acc: 0.2132 | Test Acc: 0.2119
Epoch 38 | Train Acc: 0.2132 | Test Acc: 0.2118
Epoch 39 | Train Acc: 0.2132 | Test Acc: 0.2119
Epoch 40 | Train Acc: 0.2134 | Test Acc: 0.2120
Epoch 41 | Train Acc: 0.2135 | Test Acc: 0.2120
Epoch 42 | Train Acc: 0.2135 | Test Acc: 0.2118
Epoch 43 | Train Acc: 0.2135 | Test Acc: 0.2119
Epoch 44 | Train Acc: 0.2136 | Test Acc: 0.2120
Epoch 45 | Train Acc: 0.2136 | Test Acc: 0.2120
Epoch 46 | Train Acc: 0.2137 | Test Acc: 0.2115
Epoch 47 | Train Acc: 0.2137 | Test Acc: 0.2120
Epoch 48 | Train Acc: 0.2137 | Test Acc: 0.2122
Epoch 49 | Train Acc: 0.2138 | Test Acc: 0.2121
Epoch 50 | Train Acc: 0.2139 | Test Acc: 0.2121
Epoch 51 | Train Acc: 0.2139 | Test Acc: 0.2121
Epoch 52 | Train Acc: 0.2140 | Test Acc: 0.2122
Epoch 53 | Train Acc: 0.2140 | Test Acc: 0.2119
Epoch 54 | Train Acc: 0.2140 | Test Acc: 0.2122
Epoch 55 | Train Acc: 0.2140 | Test Acc: 0.2120
Epoch 56 | Train Acc: 0.2141 | Test Acc: 0.2121
Epoch 57 | Train Acc: 0.2142 | Test Acc: 0.2122
Epoch 58 | Train Acc: 0.2141 | Test Acc: 0.2122
Epoch 59 | Train Acc: 0.2141 | Test Acc: 0.2121
Epoch 60 | Train Acc: 0.2142 | Test Acc: 0.2123
Epoch 61 | Train Acc: 0.2143 | Test Acc: 0.2118
Epoch 62 | Train Acc: 0.2141 | Test Acc: 0.2122
Epoch 63 | Train Acc: 0.2143 | Test Acc: 0.2118
Epoch 64 | Train Acc: 0.2143 | Test Acc: 0.2120
Epoch 65 | Train Acc: 0.2143 | Test Acc: 0.2118
Epoch 66 | Train Acc: 0.2143 | Test Acc: 0.2120
Epoch 67 | Train Acc: 0.2143 | Test Acc: 0.2120
Epoch 68 | Train Acc: 0.2144 | Test Acc: 0.2119
Epoch 69 | Train Acc: 0.2144 | Test Acc: 0.2118
Epoch 70 | Train Acc: 0.2144 | Test Acc: 0.2117
Epoch 71 | Train Acc: 0.2144 | Test Acc: 0.2117
Epoch 72 | Train Acc: 0.2144 | Test Acc: 0.2118
Epoch 73 | Train Acc: 0.2143 | Test Acc: 0.2121
Epoch 74 | Train Acc: 0.2144 | Test Acc: 0.2121
Epoch 75 | Train Acc: 0.2144 | Test Acc: 0.2117
Epoch 76 | Train Acc: 0.2144 | Test Acc: 0.2123
Epoch 77 | Train Acc: 0.2144 | Test Acc: 0.2123
Epoch 78 | Train Acc: 0.2145 | Test Acc: 0.2119
Epoch 79 | Train Acc: 0.2143 | Test Acc: 0.2116
Epoch 80 | Train Acc: 0.2145 | Test Acc: 0.2121
Epoch 81 | Train Acc: 0.2145 | Test Acc: 0.2117
Epoch 82 | Train Acc: 0.2145 | Test Acc: 0.2119
Epoch 83 | Train Acc: 0.2145 | Test Acc: 0.2118
Epoch 84 | Train Acc: 0.2145 | Test Acc: 0.2115
Epoch 85 | Train Acc: 0.2145 | Test Acc: 0.2119
Epoch 86 | Train Acc: 0.2145 | Test Acc: 0.2117
Epoch 87 | Train Acc: 0.2145 | Test Acc: 0.2116
Epoch 88 | Train Acc: 0.2146 | Test Acc: 0.2117
Epoch 89 | Train Acc: 0.2144 | Test Acc: 0.2120
Epoch 90 | Train Acc: 0.2145 | Test Acc: 0.2119
Epoch 91 | Train Acc: 0.2146 | Test Acc: 0.2119
Epoch 92 | Train Acc: 0.2145 | Test Acc: 0.2121
Epoch 93 | Train Acc: 0.2145 | Test Acc: 0.2118
Epoch 94 | Train Acc: 0.2145 | Test Acc: 0.2122
Epoch 95 | Train Acc: 0.2145 | Test Acc: 0.2122
Epoch 96 | Train Acc: 0.2146 | Test Acc: 0.2120
Epoch 97 | Train Acc: 0.2145 | Test Acc: 0.2119
Epoch 98 | Train Acc: 0.2147 | Test Acc: 0.2120
Epoch 99 | Train Acc: 0.2146 | Test Acc: 0.2116
Epoch 100 | Train Acc: 0.2146 | Test Acc: 0.2122
Epoch 101 | Train Acc: 0.2146 | Test Acc: 0.2124
Epoch 102 | Train Acc: 0.2146 | Test Acc: 0.2125
Epoch 103 | Train Acc: 0.2146 | Test Acc: 0.2112
Epoch 104 | Train Acc: 0.2146 | Test Acc: 0.2117
Epoch 105 | Train Acc: 0.2145 | Test Acc: 0.2119
Epoch 106 | Train Acc: 0.2146 | Test Acc: 0.2125
Epoch 107 | Train Acc: 0.2146 | Test Acc: 0.2120
Epoch 108 | Train Acc: 0.2146 | Test Acc: 0.2125
Epoch 109 | Train Acc: 0.2147 | Test Acc: 0.2123
Epoch 110 | Train Acc: 0.2147 | Test Acc: 0.2122
Epoch 111 | Train Acc: 0.2147 | Test Acc: 0.2121
Epoch 112 | Train Acc: 0.2146 | Test Acc: 0.2126
Epoch 113 | Train Acc: 0.2146 | Test Acc: 0.2119
Epoch 114 | Train Acc: 0.2146 | Test Acc: 0.2127
Epoch 115 | Train Acc: 0.2147 | Test Acc: 0.2124
Epoch 116 | Train Acc: 0.2145 | Test Acc: 0.2126
Epoch 117 | Train Acc: 0.2146 | Test Acc: 0.2123
Epoch 118 | Train Acc: 0.2147 | Test Acc: 0.2121
Epoch 119 | Train Acc: 0.2146 | Test Acc: 0.2127
Epoch 120 | Train Acc: 0.2147 | Test Acc: 0.2118
Epoch 121 | Train Acc: 0.2147 | Test Acc: 0.2118
Epoch 122 | Train Acc: 0.2148 | Test Acc: 0.2119
Epoch 123 | Train Acc: 0.2146 | Test Acc: 0.2119
Epoch 124 | Train Acc: 0.2147 | Test Acc: 0.2119
Epoch 125 | Train Acc: 0.2146 | Test Acc: 0.2119
Epoch 126 | Train Acc: 0.2147 | Test Acc: 0.2120
Epoch 127 | Train Acc: 0.2148 | Test Acc: 0.2125
Epoch 128 | Train Acc: 0.2147 | Test Acc: 0.2125
Epoch 129 | Train Acc: 0.2147 | Test Acc: 0.2121
Epoch 130 | Train Acc: 0.2148 | Test Acc: 0.2115
Epoch 131 | Train Acc: 0.2147 | Test Acc: 0.2124
Epoch 132 | Train Acc: 0.2147 | Test Acc: 0.2125
Epoch 133 | Train Acc: 0.2147 | Test Acc: 0.2117
Epoch 134 | Train Acc: 0.2147 | Test Acc: 0.2124
Epoch 135 | Train Acc: 0.2147 | Test Acc: 0.2126
Epoch 136 | Train Acc: 0.2149 | Test Acc: 0.2127
Epoch 137 | Train Acc: 0.2148 | Test Acc: 0.2119
Epoch 138 | Train Acc: 0.2148 | Test Acc: 0.2120
Epoch 139 | Train Acc: 0.2147 | Test Acc: 0.2110
Epoch 140 | Train Acc: 0.2149 | Test Acc: 0.2120
Epoch 141 | Train Acc: 0.2149 | Test Acc: 0.2125
Epoch 142 | Train Acc: 0.2148 | Test Acc: 0.2124
Epoch 143 | Train Acc: 0.2149 | Test Acc: 0.2127
