alpha,g,epoch,task_id,train_loss,train_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc
1.2,1.0,1,1,0.5925036785063713,0.8655666666666667,0.9316999912261963,,,,,,,,,
1.2,1.0,2,1,0.16672968631709562,0.9494666666666667,0.9526999592781067,,,,,,,,,
1.2,1.0,3,1,0.12111384572504934,0.9636833333333333,0.958299994468689,,,,,,,,,
1.2,1.0,4,1,0.09549220512980527,0.9705333333333334,0.963699996471405,,,,,,,,,
1.2,1.0,5,1,0.0781487221839522,0.9763333333333334,0.9677000045776367,,,,,,,,,
1.2,1.0,6,1,0.06387160097393813,0.9798833333333333,0.9716999530792236,,,,,,,,,
1.2,1.0,7,1,0.05054537368727836,0.9852833333333333,0.9695000052452087,,,,,,,,,
1.2,1.0,8,1,0.04214918945651891,0.9874333333333334,0.9724999666213989,,,,,,,,,
1.2,1.0,9,1,0.034182111320119585,0.9899,0.9722999930381775,,,,,,,,,
1.2,1.0,10,1,0.028104134949484168,0.9919,0.972599983215332,,,,,,,,,
1.2,1.0,1,2,0.6077976367875203,0.85775,0.5982999801635742,0.9437999725341797,,,,,,,,
1.2,1.0,2,2,0.16579325970556183,0.9505333333333333,0.6248999834060669,0.9573999643325806,,,,,,,,
1.2,1.0,3,2,0.12206489530040511,0.9624666666666667,0.6164000034332275,0.9612999558448792,,,,,,,,
1.2,1.0,4,2,0.0926296199455476,0.9712333333333333,0.5701999664306641,0.9678999781608582,,,,,,,,
1.2,1.0,5,2,0.073424512524404,0.9773166666666666,0.5665000081062317,0.9687999486923218,,,,,,,,
1.2,1.0,6,2,0.05929722504884894,0.9821333333333333,0.5304999947547913,0.9702999591827393,,,,,,,,
1.2,1.0,7,2,0.05142285330082053,0.98415,0.5228999853134155,0.9697999954223633,,,,,,,,
1.2,1.0,8,2,0.04342442515717228,0.9864833333333334,0.487199991941452,0.9697999954223633,,,,,,,,
1.2,1.0,9,2,0.03431321434360911,0.9896166666666667,0.4778999984264374,0.9751999974250793,,,,,,,,
1.2,1.0,10,2,0.02741757072190613,0.9922166666666666,0.45389997959136963,0.9739999771118164,,,,,,,,
1.2,1.0,1,3,0.5374490729273002,0.8637666666666667,0.25849997997283936,0.7009999752044678,0.9409999847412109,,,,,,,
1.2,1.0,2,3,0.17026696234210723,0.9483166666666667,0.2320999950170517,0.6550999879837036,0.9510999917984009,,,,,,,
1.2,1.0,3,3,0.12804895689460769,0.9604833333333334,0.23179998993873596,0.661799967288971,0.9590999484062195,,,,,,,
1.2,1.0,4,3,0.09809370097050917,0.9695833333333334,0.20009998977184296,0.6298999786376953,0.9601999521255493,,,,,,,
1.2,1.0,5,3,0.0807542306289617,0.9751166666666666,0.22589999437332153,0.6202999949455261,0.9645999670028687,,,,,,,
1.2,1.0,6,3,0.06716769530193638,0.9789333333333333,0.20520000159740448,0.5712000131607056,0.9668999910354614,,,,,,,
1.2,1.0,7,3,0.05696232816867673,0.98195,0.19609999656677246,0.5763999819755554,0.9696999788284302,,,,,,,
1.2,1.0,8,3,0.04769806753097376,0.9847166666666667,0.2052999883890152,0.5741999745368958,0.9713999629020691,,,,,,,
1.2,1.0,9,3,0.04017903207531219,0.9878166666666667,0.2020999938249588,0.555899977684021,0.9715999960899353,,,,,,,
1.2,1.0,10,3,0.03213412409771416,0.9903666666666666,0.19669999182224274,0.5345999598503113,0.9711999893188477,,,,,,,
1.2,1.0,1,4,0.5203409354760449,0.85585,0.14069999754428864,0.35109999775886536,0.692799985408783,0.9300999641418457,,,,,,
1.2,1.0,2,4,0.16454758101911432,0.9489666666666666,0.14790000021457672,0.34219998121261597,0.6482999920845032,0.9540999531745911,,,,,,
1.2,1.0,3,4,0.11827205043278143,0.9633166666666667,0.1257999986410141,0.29179999232292175,0.6134999990463257,0.9544999599456787,,,,,,
1.2,1.0,4,4,0.09247009877933622,0.9714333333333334,0.12199999392032623,0.3082999885082245,0.6743999719619751,0.9633999466896057,,,,,,
1.2,1.0,5,4,0.07523416265595093,0.9765333333333334,0.12629999220371246,0.29919999837875366,0.6470999717712402,0.9680999517440796,,,,,,
1.2,1.0,6,4,0.06149536636926091,0.9811666666666666,0.12529999017715454,0.2928999960422516,0.6250999569892883,0.9641000032424927,,,,,,
1.2,1.0,7,4,0.04956035782148176,0.9850166666666667,0.13079999387264252,0.3249000012874603,0.6613999605178833,0.9681999683380127,,,,,,
1.2,1.0,8,4,0.04360723871884665,0.9863,0.13419999182224274,0.3164999783039093,0.6523000001907349,0.9704999923706055,,,,,,
1.2,1.0,9,4,0.036785856408597245,0.9890166666666667,0.1476999968290329,0.3125,0.6642999649047852,0.971299946308136,,,,,,
1.2,1.0,10,4,0.030819868785329163,0.9908166666666667,0.14000000059604645,0.28999999165534973,0.6312999725341797,0.9705999493598938,,,,,,
1.2,1.0,1,5,0.6966625211526082,0.8237,0.10659999400377274,0.22129999101161957,0.40939998626708984,0.5573999881744385,0.9294999837875366,,,,,
1.2,1.0,2,5,0.183007097805042,0.944,0.09869999438524246,0.23669999837875366,0.44119998812675476,0.5837999582290649,0.9395999908447266,,,,,
1.2,1.0,3,5,0.1332866905856806,0.9595666666666667,0.10399999469518661,0.23349998891353607,0.35909998416900635,0.5327999591827393,0.9571999907493591,,,,,
1.2,1.0,4,5,0.10445212510460095,0.9677333333333333,0.10279999673366547,0.22689999639987946,0.33629998564720154,0.5062999725341797,0.9611999988555908,,,,,
1.2,1.0,5,5,0.0857961124130912,0.9733333333333334,0.10819999873638153,0.2409999966621399,0.335999995470047,0.48330000042915344,0.9670999646186829,,,,,
1.2,1.0,6,5,0.07464140414127282,0.9766666666666667,0.10769999772310257,0.23099999129772186,0.3352999985218048,0.5173999667167664,0.9684000015258789,,,,,
1.2,1.0,7,5,0.06174504138561073,0.9809333333333333,0.10809999704360962,0.23339998722076416,0.3163999915122986,0.4894999861717224,0.9702999591827393,,,,,
1.2,1.0,8,5,0.05044359086788317,0.9849166666666667,0.11050000041723251,0.2263999879360199,0.31049999594688416,0.48589998483657837,0.9691999554634094,,,,,
1.2,1.0,9,5,0.04430249258915562,0.9861333333333333,0.10589999705553055,0.2352999895811081,0.32999998331069946,0.4712999761104584,0.9714999794960022,,,,,
1.2,1.0,10,5,0.035934766268492666,0.9894166666666667,0.1152999997138977,0.24169999361038208,0.3443000018596649,0.4810999929904938,0.9717999696731567,,,,,
1.2,1.0,1,6,0.5502722201856978,0.8572333333333333,0.10449999570846558,0.22010000050067902,0.19359999895095825,0.30169999599456787,0.7811999917030334,0.9330999851226807,,,,
1.2,1.0,2,6,0.17302631358824558,0.9468666666666666,0.10260000079870224,0.18879999220371246,0.19269999861717224,0.3262999951839447,0.7809000015258789,0.9477999806404114,,,,
1.2,1.0,3,6,0.12737147879403538,0.9612166666666667,0.10049999505281448,0.1800999939441681,0.19329999387264252,0.3352999985218048,0.7346999645233154,0.9608999490737915,,,,
1.2,1.0,4,6,0.09996488084321592,0.9687666666666667,0.09109999984502792,0.16779999434947968,0.18439999222755432,0.3402999937534332,0.7264999747276306,0.9652999639511108,,,,
1.2,1.0,5,6,0.08178835508348083,0.97475,0.09549999982118607,0.19290000200271606,0.17479999363422394,0.31049999594688416,0.6794999837875366,0.9635999798774719,,,,
1.2,1.0,6,6,0.06625965051650842,0.9800833333333333,0.0973999947309494,0.17489999532699585,0.1938999891281128,0.33649998903274536,0.717799961566925,0.9681999683380127,,,,
1.2,1.0,7,6,0.05535907630643833,0.98275,0.0819999948143959,0.18140000104904175,0.17419999837875366,0.29269999265670776,0.6793999671936035,0.967799961566925,,,,
1.2,1.0,8,6,0.04636549526877177,0.9856333333333334,0.07769999653100967,0.1711999922990799,0.1842999905347824,0.3515999913215637,0.6998999714851379,0.9692999720573425,,,,
1.2,1.0,9,6,0.03784061086250902,0.9886833333333334,0.08699999749660492,0.16820000112056732,0.1850999891757965,0.3353999853134155,0.7062999606132507,0.9698999524116516,,,,
1.2,1.0,10,6,0.03212445970626671,0.99065,0.07939999550580978,0.17329999804496765,0.17350000143051147,0.3025999963283539,0.6948999762535095,0.97079998254776,,,,
1.2,1.0,1,7,0.534306564866734,0.8562333333333333,0.05889999866485596,0.15139999985694885,0.15479999780654907,0.2793000042438507,0.5874999761581421,0.8349999785423279,0.9322999715805054,,,
1.2,1.0,2,7,0.1650081204850155,0.9498166666666666,0.07329999655485153,0.15240000188350677,0.15729999542236328,0.3446999788284302,0.6089000105857849,0.7982999682426453,0.9542999863624573,,,
1.2,1.0,3,7,0.11809129221861296,0.9637333333333333,0.07699999958276749,0.13079999387264252,0.15699999034404755,0.3807999789714813,0.5999000072479248,0.7348999977111816,0.9575999975204468,,,
1.2,1.0,4,7,0.09299860869659417,0.9709333333333333,0.07589999586343765,0.16169999539852142,0.15109999477863312,0.3458999991416931,0.5961999893188477,0.6922999620437622,0.9628999829292297,,,
1.2,1.0,5,7,0.07379759155682472,0.9774833333333334,0.06689999997615814,0.15709999203681946,0.14489999413490295,0.3570999801158905,0.5525999665260315,0.6721000075340271,0.9661999940872192,,,
1.2,1.0,6,7,0.06270090405588974,0.9804333333333334,0.06030000001192093,0.15789999067783356,0.14899998903274536,0.3450999855995178,0.590399980545044,0.7102999687194824,0.9661999940872192,,,
1.2,1.0,7,7,0.05275711819811511,0.9833333333333333,0.06209999695420265,0.14899998903274536,0.14649999141693115,0.3333999812602997,0.5072000026702881,0.6690999865531921,0.9656999707221985,,,
1.2,1.0,8,7,0.043390522900619295,0.9867833333333333,0.05939999967813492,0.15060000121593475,0.13349999487400055,0.32170000672340393,0.5471000075340271,0.6413999795913696,0.9709999561309814,,,
1.2,1.0,9,7,0.03503375081891524,0.9893166666666666,0.05849999934434891,0.14549998939037323,0.14190000295639038,0.33159998059272766,0.5475000143051147,0.6563000082969666,0.9702000021934509,,,
1.2,1.0,10,7,0.02908441584422263,0.9914666666666667,0.06439999490976334,0.15699999034404755,0.1419999897480011,0.32989999651908875,0.5360999703407288,0.6827999949455261,0.9718999862670898,,,
1.2,1.0,1,8,0.4617753880682276,0.8744166666666666,0.05959999933838844,0.10449999570846558,0.1533999890089035,0.2298000007867813,0.31700000166893005,0.5952000021934509,0.8489999771118164,0.941100001335144,,
1.2,1.0,2,8,0.155425718550616,0.9525,0.061400000005960464,0.09959999471902847,0.1362999975681305,0.23359999060630798,0.2904999852180481,0.558899998664856,0.8280999660491943,0.9569000005722046,,
1.2,1.0,3,8,0.11499668959218429,0.9645,0.0632999986410141,0.11019999533891678,0.131400004029274,0.23339998722076416,0.28189998865127563,0.5245000123977661,0.833899974822998,0.9549999833106995,,
1.2,1.0,4,8,0.09039507836881858,0.9724166666666667,0.0689999982714653,0.1078999936580658,0.1306999921798706,0.2092999964952469,0.2606000006198883,0.5181999802589417,0.8100999593734741,0.9643999934196472,,
1.2,1.0,5,8,0.07310608166581722,0.9770166666666666,0.06300000101327896,0.09879999607801437,0.12780000269412994,0.19929999113082886,0.2516999840736389,0.4884999990463257,0.8030999898910522,0.9687999486923218,,
1.2,1.0,6,8,0.058165067679751145,0.9819833333333333,0.06879999488592148,0.10369999706745148,0.1136000007390976,0.2012999951839447,0.24390000104904175,0.48919999599456787,0.7949000000953674,0.9672999978065491,,
1.2,1.0,7,8,0.04832324362012433,0.9855666666666667,0.07440000027418137,0.11249999701976776,0.11349999904632568,0.20430000126361847,0.2524999976158142,0.5013999938964844,0.8147000074386597,0.9684000015258789,,
1.2,1.0,8,8,0.040275804832506215,0.9878,0.0674000009894371,0.10269999504089355,0.09799999743700027,0.2084999978542328,0.24939998984336853,0.47909998893737793,0.7821999788284302,0.9680999517440796,,
1.2,1.0,9,8,0.033107613423354686,0.9900333333333333,0.06790000200271606,0.11129999905824661,0.09559999406337738,0.19919998943805695,0.2395000010728836,0.4838999807834625,0.8046999573707581,0.973099946975708,,
1.2,1.0,10,8,0.026620188303518175,0.99265,0.06939999759197235,0.1078999936580658,0.11469999700784683,0.18769998848438263,0.21719999611377716,0.4477999806404114,0.7852999567985535,0.9699999690055847,,
1.2,1.0,1,9,0.5675868045991418,0.849,0.09999999403953552,0.10830000042915344,0.10260000079870224,0.1143999993801117,0.20919999480247498,0.37880000472068787,0.4860000014305115,0.7256999611854553,0.9357999563217163,
1.2,1.0,2,9,0.1736082439658357,0.9458833333333333,0.08839999884366989,0.0973999947309494,0.11329999566078186,0.10639999806880951,0.17569999396800995,0.3658999800682068,0.435699999332428,0.692799985408783,0.9526999592781067,
1.2,1.0,3,9,0.12481090581731628,0.9618666666666666,0.08819999545812607,0.09339999407529831,0.12039999663829803,0.11349999904632568,0.17829999327659607,0.35259997844696045,0.4333999752998352,0.7093999981880188,0.9609999656677246,
1.2,1.0,4,9,0.09942123872130665,0.9687666666666667,0.09119999408721924,0.0867999941110611,0.11180000007152557,0.1152999997138977,0.17979998886585236,0.3303999900817871,0.397599995136261,0.7430999875068665,0.9652999639511108,
1.2,1.0,5,9,0.082125780365265,0.97475,0.09299999475479126,0.08949999511241913,0.11099999397993088,0.10349999368190765,0.17149999737739563,0.3366999924182892,0.39800000190734863,0.7087999582290649,0.9675999879837036,
1.2,1.0,6,9,0.06670604081852223,0.97955,0.09939999878406525,0.08919999748468399,0.10359999537467957,0.11469999700784683,0.18879999220371246,0.3212999999523163,0.3967999815940857,0.6902999877929688,0.9646999835968018,
1.2,1.0,7,9,0.05674470754376035,0.9825833333333334,0.09519999474287033,0.09939999878406525,0.11209999769926071,0.1200999990105629,0.1768999993801117,0.3008999824523926,0.3879999816417694,0.6692999601364136,0.967799961566925,
1.2,1.0,8,9,0.045737919935793764,0.9859833333333333,0.09939999878406525,0.0843999981880188,0.12159999459981918,0.1200999990105629,0.17090000212192535,0.29999998211860657,0.409199982881546,0.6717000007629395,0.9695000052452087,
