alpha,g,epoch,task_id,train_loss,train_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,layer_0_rank,layer_1_rank,layer_2_rank,layer_3_rank,layer_4_rank,layer_5_rank,layer_6_rank,layer_7_rank,layer_8_rank,layer_9_rank,total_rank_sum
1.6,1.0,1,1,0.21130941166205608,0.9424166666666667,0.9730000495910645,,,,,,,,,,,,,,,
1.6,1.0,2,1,0.0757220268368404,0.97825,0.9785000681877136,,,,,,,,,,,,,,,
1.6,1.0,3,1,0.05859124036307665,0.9824166666666667,0.9790000319480896,,,,,,,,,,,,,,,
1.6,1.0,4,1,0.05073862421782093,0.9843333333333333,0.9800000190734863,,,,,,,,,,,,,,,
1.6,1.0,5,1,0.04588834260729082,0.986,0.9810000658035278,,,,,,,,,,,,,,,
1.6,1.0,6,1,0.0429903024787757,0.98725,0.9810000658035278,,,,,,,,,,,,,,,
1.6,1.0,7,1,0.040395648099799106,0.9876666666666667,0.984000027179718,,,,,,,,,,,,,,,
1.6,1.0,8,1,0.038295647614893125,0.9883333333333333,0.9855000376701355,,,,,,,,,,,,,,,
1.6,1.0,9,1,0.03670294608603766,0.98925,0.9855000376701355,,,,,,,,,,,,,,,
1.6,1.0,10,1,0.03485833329861944,0.98975,0.9850000739097595,,,,,,,,,,,,,,,
1.6,1.0,11,1,0.03366509589188276,0.9900833333333333,0.9860000610351562,,,,,,,,,,,,,,,
1.6,1.0,12,1,0.032457029179451945,0.9905,0.983500063419342,,,,,,,,,,,,,,,
1.6,1.0,13,1,0.031205164372643576,0.9908333333333333,0.9855000376701355,,,,,,,,,,,,,,,
1.6,1.0,14,1,0.030324974181526836,0.99075,0.987000048160553,,,,,,,,,,,,,,,
1.6,1.0,15,1,0.0292975723228239,0.9918333333333333,0.9850000739097595,,,,,,,,,,,,,,,
1.6,1.0,16,1,0.028499061831253322,0.99175,0.9855000376701355,,,,,,,,,,,,,,,
1.6,1.0,17,1,0.02742388729065498,0.9923333333333333,0.987000048160553,,,,,,,,,,,,,,,
1.6,1.0,18,1,0.027169574577202822,0.9921666666666666,0.9865000247955322,,,,,,,,,,,,,,,
1.6,1.0,19,1,0.02625184474473304,0.9921666666666666,0.9845000505447388,,,,,,,,,,,,,,,
1.6,1.0,20,1,0.025580994039278555,0.99275,0.9875000715255737,,,,,,,,,,,,,,,
1.6,1.0,21,1,0.02485199918613789,0.993,0.9860000610351562,,,,,,,,,,,,,,,
1.6,1.0,22,1,0.02410959433070681,0.9931666666666666,0.9875000715255737,,,,,,,,,,,,,,,
1.6,1.0,23,1,0.02346740267239511,0.9929166666666667,0.9865000247955322,,,,,,,,,,,,,,,
1.6,1.0,24,1,0.02286226989235729,0.99325,0.9880000352859497,,,,,,,,,,,,,,,
1.6,1.0,25,1,0.022381741746744895,0.9935,0.987000048160553,,,,,,,,,,,,,,,
1.6,1.0,26,1,0.02168607153989216,0.9936666666666667,0.987000048160553,,,,,,,,,,,,,,,
1.6,1.0,27,1,0.021337561140906937,0.9936666666666667,0.9880000352859497,,,,,,,,,,,,,,,
1.6,1.0,28,1,0.02065677318395056,0.9940833333333333,0.987000048160553,,,,,,,,,,,,,,,
1.6,1.0,29,1,0.020169252059125203,0.99375,0.9860000610351562,,,,,,,,,,,,,,,
1.6,1.0,30,1,0.019738250137108598,0.99375,0.9860000610351562,,,,,33.0,31.0,32.0,31.0,29.0,24.0,22.0,19.0,16.0,13.0,250.0
1.6,1.0,1,2,3.8319570606059217,0.34108333333333335,0.9570000171661377,0.7990000247955322,,,,,,,,,,,,,,
1.6,1.0,2,2,0.693756991719946,0.8605,0.9180000424385071,0.8880000710487366,,,,,,,,,,,,,,
1.6,1.0,3,2,0.4390559714049735,0.9064166666666666,0.8925000429153442,0.9185000658035278,,,,,,,,,,,,,,
1.6,1.0,4,2,0.3303340105141731,0.9276666666666666,0.8785000443458557,0.9305000305175781,,,,,,,,,,,,,,
1.6,1.0,5,2,0.27142103206604085,0.94025,0.8700000643730164,0.9345000386238098,,,,,,,,,,,,,,
1.6,1.0,6,2,0.23408324422037347,0.9465833333333333,0.8645000457763672,0.9390000700950623,,,,,,,,,,,,,,
