step,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc,total_basis_rank,basis_rank_features.0.weight,basis_rank_features.2.weight,basis_rank_features.4.weight,basis_rank_features.6.weight,basis_rank_features.8.weight,basis_rank_features.10.weight,basis_rank_features.12.weight,basis_rank_features.14.weight,basis_rank_features.16.weight,basis_rank_classifier.weight
0,0.30400002002716064,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
100,0.8250000476837158,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
200,0.9260000586509705,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
300,0.9300000667572021,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
400,0.8860000371932983,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
500,0.9450000524520874,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
600,0.9500000476837158,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
700,0.9490000605583191,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
800,0.9580000638961792,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
900,0.9410000443458557,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
1000,0.9640000462532043,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
1100,0.9590000510215759,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
1200,0.9320000410079956,0.5110000371932983,,,,,,,,,,,,,,,,,,,756.0,134.0,111.0,86.0,74.0,69.0,65.0,63.0,56.0,51.0,47.0
1300,0.9320000410079956,0.7700000405311584,,,,,,,,,,,,,,,,,,,756.0,134.0,111.0,86.0,74.0,69.0,65.0,63.0,56.0,51.0,47.0
1400,0.9310000538825989,0.831000030040741,,,,,,,,,,,,,,,,,,,756.0,134.0,111.0,86.0,74.0,69.0,65.0,63.0,56.0,51.0,47.0
1500,0.9310000538825989,0.8550000190734863,,,,,,,,,,,,,,,,,,,756.0,134.0,111.0,86.0,74.0,69.0,65.0,63.0,56.0,51.0,47.0
1600,0.9300000667572021,0.8660000562667847,,,,,,,,,,,,,,,,,,,756.0,134.0,111.0,86.0,74.0,69.0,65.0,63.0,56.0,51.0,47.0
1700,0.9310000538825989,0.878000020980835,,,,,,,,,,,,,,,,,,,756.0,134.0,111.0,86.0,74.0,69.0,65.0,63.0,56.0,51.0,47.0
1800,0.9310000538825989,0.8860000371932983,,,,,,,,,,,,,,,,,,,756.0,134.0,111.0,86.0,74.0,69.0,65.0,63.0,56.0,51.0,47.0
