step,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc,total_basis_rank,basis_rank_features.0.weight,basis_rank_features.2.weight,basis_rank_features.4.weight,basis_rank_features.6.weight,basis_rank_features.8.weight,basis_rank_features.10.weight,basis_rank_features.12.weight,basis_rank_features.14.weight,basis_rank_features.16.weight,basis_rank_classifier.weight
0,0.28700000047683716,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
100,0.6390000581741333,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
200,0.8360000252723694,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
300,0.8990000486373901,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
400,0.9190000295639038,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
500,0.9340000152587891,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
600,0.937000036239624,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
700,0.9460000395774841,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
800,0.9430000185966492,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
900,0.9430000185966492,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
1000,0.9450000524520874,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
1100,0.9440000653266907,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
1200,0.9490000605583191,0.37300002574920654,,,,,,,,,,,,,,,,,,,516.0,134.0,61.0,43.0,41.0,40.0,43.0,45.0,39.0,36.0,34.0
1300,0.9470000267028809,0.7050000429153442,,,,,,,,,,,,,,,,,,,516.0,134.0,61.0,43.0,41.0,40.0,43.0,45.0,39.0,36.0,34.0
1400,0.9460000395774841,0.8080000281333923,,,,,,,,,,,,,,,,,,,516.0,134.0,61.0,43.0,41.0,40.0,43.0,45.0,39.0,36.0,34.0
1500,0.9460000395774841,0.8460000157356262,,,,,,,,,,,,,,,,,,,516.0,134.0,61.0,43.0,41.0,40.0,43.0,45.0,39.0,36.0,34.0
1600,0.9470000267028809,0.8680000305175781,,,,,,,,,,,,,,,,,,,516.0,134.0,61.0,43.0,41.0,40.0,43.0,45.0,39.0,36.0,34.0
1700,0.9490000605583191,0.8870000243186951,,,,,,,,,,,,,,,,,,,516.0,134.0,61.0,43.0,41.0,40.0,43.0,45.0,39.0,36.0,34.0
1800,0.9480000734329224,0.8880000710487366,,,,,,,,,,,,,,,,,,,516.0,134.0,61.0,43.0,41.0,40.0,43.0,45.0,39.0,36.0,34.0
1900,0.9480000734329224,0.8970000147819519,,,,,,,,,,,,,,,,,,,516.0,134.0,61.0,43.0,41.0,40.0,43.0,45.0,39.0,36.0,34.0
2000,0.9470000267028809,0.9000000357627869,,,,,,,,,,,,,,,,,,,516.0,134.0,61.0,43.0,41.0,40.0,43.0,45.0,39.0,36.0,34.0
2100,0.9470000267028809,0.9050000309944153,,,,,,,,,,,,,,,,,,,516.0,134.0,61.0,43.0,41.0,40.0,43.0,45.0,39.0,36.0,34.0
