step,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc,total_basis_rank,basis_rank_features.0.weight,basis_rank_features.2.weight,basis_rank_features.4.weight,basis_rank_features.6.weight,basis_rank_features.8.weight,basis_rank_features.10.weight,basis_rank_features.12.weight,basis_rank_features.14.weight,basis_rank_features.16.weight,basis_rank_classifier.weight
0,0.16200000047683716,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
100,0.8420000672340393,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
200,0.8740000128746033,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
300,0.8970000147819519,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
400,0.9110000729560852,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
500,0.9160000681877136,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
600,0.9250000715255737,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
700,0.9280000329017639,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
800,0.9300000667572021,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
900,0.9390000700950623,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
1000,0.9360000491142273,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
1100,0.9410000443458557,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
1200,0.937000036239624,0.6270000338554382,,,,,,,,,,,,,,,,,,,663.0,92.0,81.0,72.0,63.0,61.0,61.0,60.0,59.0,58.0,56.0
1300,0.9360000491142273,0.8290000557899475,,,,,,,,,,,,,,,,,,,663.0,92.0,81.0,72.0,63.0,61.0,61.0,60.0,59.0,58.0,56.0
1400,0.9330000281333923,0.8650000691413879,,,,,,,,,,,,,,,,,,,663.0,92.0,81.0,72.0,63.0,61.0,61.0,60.0,59.0,58.0,56.0
1500,0.9330000281333923,0.8820000290870667,,,,,,,,,,,,,,,,,,,663.0,92.0,81.0,72.0,63.0,61.0,61.0,60.0,59.0,58.0,56.0
1600,0.9320000410079956,0.8980000615119934,,,,,,,,,,,,,,,,,,,663.0,92.0,81.0,72.0,63.0,61.0,61.0,60.0,59.0,58.0,56.0
